BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1           2           2           0
           2      2.0784      1.5196    0.339695
           3     1.93287     1.22783    0.328693
           4     1.69884     1.02705    0.301672
           5     1.53596    0.883078    0.273544
           6     1.47338    0.776825    0.247731
           7     1.49943    0.696451    0.225002
           8     1.48481    0.632595    0.205738
           9     1.44299    0.580121    0.189452
          10     1.40232    0.536132     0.17554
          11     1.35599    0.498599    0.163545
          12     1.36802     0.46655    0.153024
          13     1.37297    0.438785     0.14375
          14     1.35838    0.414374    0.135539
          15     1.35715    0.392781    0.128211
          16     1.33735    0.373456    0.121646
          17     1.34466    0.356141    0.115716
          18     1.38054    0.340616    0.110324
          19      1.3516    0.326433    0.105425
          20     1.33033    0.313437    0.100952
          21     1.31028    0.301483   0.0968496
          22     1.30689    0.290479   0.0930703
          23     1.32446    0.280353   0.0895729
          24     1.31462    0.270954   0.0863324
          25     1.32284    0.262233   0.0833185
          26     1.31556    0.254093   0.0805106
          27      1.3184     0.24649   0.0778868
          28     1.30737    0.239355   0.0754313
          29     1.32941    0.232682   0.0731248
          30     1.31185    0.226384    0.070958
          31     1.31352    0.220448   0.0689169
          32     1.33517    0.214863   0.0669892
          33     1.32938    0.209572   0.0651677
          34     1.31432    0.204545   0.0634446
          35     1.30719    0.199768   0.0618115
          36     1.32757    0.195244   0.0602599
          37     1.30462     0.19092   0.0587862
          38     1.31882    0.186809   0.0573827
          39     1.35784    0.182912   0.0560436
          40     1.33715    0.179174   0.0547669
          41     1.35244    0.175609   0.0535471
          42      1.3444     0.17219   0.0523812
          43     1.35604    0.168919   0.0512651
          44     1.36448    0.165785   0.0501957
          45     1.36241    0.162773   0.0491705
          46     1.35202    0.159874    0.048187
          47     1.36693    0.157091    0.047242
          48     1.37564    0.154415   0.0463335
          49     1.33882    0.151821   0.0454604
          50     1.33842     0.14932     0.04462
          51      1.3294    0.146904   0.0438105
          52     1.32379    0.144568   0.0430302
          53     1.31426    0.142308   0.0422776
          54     1.33218     0.14013   0.0415508
          55      1.3335    0.138023   0.0408487
          56     1.32651    0.135981   0.0401702
          57     1.37662    0.134019   0.0395134
          58     1.39724    0.132124   0.0388775
          59     1.33594    0.130268   0.0382629
          60     1.32182    0.128464   0.0376676
          61     1.32263    0.126714   0.0370908
          62     1.30372    0.125009   0.0365317
          63     1.33082     0.12336    0.035989
          64     1.36551    0.121766    0.035462
          65      1.3407     0.12021   0.0349505
          66      1.3182    0.118691    0.034454
          67     1.33735    0.117218   0.0339712
          68      1.3136    0.115778   0.0335021
          69     1.33941    0.114381   0.0330457
          70     1.36006    0.113025   0.0326015
          71     1.35059    0.111701   0.0321691
          72     1.38587    0.110417    0.031748
          73     1.40594    0.109168   0.0313376
          74     1.39057    0.107947   0.0309379
          75     1.34219    0.106746   0.0305487
          76     1.34309    0.105574   0.0301692
          77     1.34668     0.10443   0.0297991
          78     1.30607    0.103306   0.0294383
          79     1.31288    0.102209   0.0290861
          80     1.32275    0.101138   0.0287422
          81     1.33054    0.100092   0.0284064
          82     1.33887   0.0990705   0.0280783
          83     1.37257   0.0980761   0.0277576
          84     1.35818    0.097101   0.0274443
          85     1.31861   0.0961412   0.0271382
          86     1.29397   0.0951982    0.026839
          87     1.28978   0.0942744   0.0265464
          88     1.32037   0.0933736     0.02626
          89     1.33394   0.0924928   0.0259797
          90     1.31152   0.0916271   0.0257055
          91     1.28194    0.090775   0.0254371
          92     1.29867   0.0899417   0.0251743
          93     1.32584   0.0891279   0.0249168
          94      1.3205   0.0883292   0.0246645
          95     1.31851   0.0875455   0.0244173
          96     1.35032   0.0867801    0.024175
          97     1.39325   0.0860335   0.0239373
          98     1.38205   0.0852995   0.0237042
          99     1.33427   0.0845741   0.0234759
         100     1.32975   0.0838613    0.023252
