N  Half_pop_ave        L
0 492.321 459.221
1 479.862 424.85
2 479.837 424.85
3 471.681 414.655
4 456.331 420.225
5 456.163 420.225
6 441.094 402.383
7 436.305 396.857
8 422.531 387.271
9 414.584 385.214
10 408.287 379.88
11 402.747 370.944
12 400.214 362.217
13 400.216 362.217
14 394.484 358.602
15 384.684 353.58
16 377.63 350.812
17 368.231 349.879
18 363.924 335.468
19 358.626 335.468
20 354.222 330.849
21 347.966 329.302
22 344.049 329.302
23 341.664 328.898
24 337.718 322.807
25 333.468 321.458
26 332.646 321.458
27 328.041 319.071
28 324.511 313.101
29 324.635 313.101
30 321.241 306.682
31 317.18 305.762
32 317.177 305.762
33 313.485 301.593
34 311.667 292.685
35 307.012 285.093
36 301.49 283.76
37 301.365 283.76
38 297.319 282.035
39 297.285 282.035
40 294.436 281.424
41 293.78 277.966
42 288.837 268.914
43 284.258 268.21
44 281.96 266.572
45 276.151 262.465
46 271.471 260.471
47 270.177 260.471
48 269.566 260.153
49 269.089 259.751
50 267.505 256.419
51 264.95 256.419
52 265.119 256.419
53 265.186 256.419
54 264.738 254.694
55 265.605 254.31
56 262.237 248.963
57 262.262 248.963
58 262.326 248.963
59 261.45 248.963
60 260.043 248.963
61 260.584 248.963
62 260.171 248.963
63 259.901 248.963
64 259.329 240.368
65 257.028 240.368
66 253.278 238.655
67 249.688 238.253
68 251.107 238.253
69 248.988 234.546
70 245.402 230.237
71 244.558 229.027
72 241.58 227.892
73 239.037 225.531
74 237.726 227.039
75 238.062 227.039
76 238.09 227.039
77 234.682 225.359
78 233.322 223.203
79 231.766 221.651
80 229.554 220.556
81 228.311 219.464
82 225.808 218.493
83 224.084 215.092
84 223.881 215.504
85 223.181 215.231
86 223.238 215.231
87 222.978 213.754
88 221.111 213.754
89 222.369 213.754
90 221.568 213.621
91 221.462 211.102
92 221.933 212.855
93 221.578 212.855
94 221.585 208.57
95 221.714 208.57
96 221.738 208.57
97 221.84 208.57
98 219.071 207.966
99 219.305 207.154
100 215.747 205.119
101 215.835 205.119
102 215.19 204.47
103 215.758 204.694
104 212.517 204.47
105 211.308 203.12
106 211.655 202.547
107 211.673 202.547
108 212.96 202.547
109 209.803 200.862
110 207.752 200.862
111 208.049 200.862
112 206.383 200.862
113 206.393 200.862
114 205.841 200.504
115 204.387 199
116 202.553 199
117 202.716 199
118 202.805 199
119 202.9 199
120 202.994 198.772
121 203.524 197.087
122 203.568 197.087
123 203.59 197.087
124 202.249 196.91
125 202.083 195.088
126 200.674 194.963
127 200.808 194.963
128 199.851 194.23
129 199.202 193.969
130 198.695 192.875
131 199.67 186.466
132 199.897 192.739
133 199.535 186.33
134 200.011 186.33
135 200.239 186.33
136 196.111 184.81
137 196.263 184.81
138 196.407 184.81
139 194.712 184.122
140 195.119 184.122
141 195.187 184.122
142 193.676 184.122
143 191.249 184.122
144 188.841 180.208
145 187.231 179.554
146 187.355 179.554
147 187.392 179.554
148 186.119 179.554
149 183.432 178.21
150 182.881 166.693
151 182.162 165.842
152 184.931 166.838
153 186.009 168.306
154 188.271 168.306
155 188.569 168.306
156 188.669 168.306
157 188.698 168.306
158 184.25 167.901
159 184.331 167.901
160 179.356 166.241
161 175.388 164.25
162 175.39 164.25
163 175.671 164.25
164 172.854 162.453
165 172.924 162.453
166 172.663 163.323
167 171.539 161.414
168 171.6 161.414
169 170.65 161.414
170 168.202 160.615
171 166.991 160.615
172 165.594 160.615
173 164.831 160.615
174 162.272 158.32
175 162.414 158.32
176 162.504 158.32
177 165.766 158.084
178 165.22 158.084
179 165.033 157.871
180 164.046 157.871
181 164.329 157.11
182 163.917 156.9
183 164.159 156.9
184 164.294 156.9
185 161.708 156.379
186 161.943 156.379
187 161.735 156.012
188 161.704 155.619
189 163.203 155.619
190 161.24 155.409
191 160.149 155.237
192 159.47 155.03
193 159.421 155.03
194 158.777 154.486
195 159.188 154.31
196 159.302 154.31
197 159.356 154.31
198 158.88 153.892
199 160.557 153.861
200 160.871 145.925
201 160.503 151.853
202 162.409 150.547
203 162.166 150.547
204 162.685 148.983
205 162.698 148.983
206 161.714 148.983
207 161.714 148.983
208 161.923 148.983
209 162.085 148.983
210 160.805 148.983
211 156.535 148.983
212 155.215 147.586
213 154.023 147.586
214 152.393 144.405
215 151.222 144.405
216 149.799 143.631
217 149.468 143.631
218 150.133 142.419
219 150.395 142.419
220 150.668 142.419
221 150.84 142.419
222 148.772 142.419
223 146.76 140.513
224 147.737 140.513
225 147.828 140.513
226 146.454 140.513
227 145.116 139.301
228 145.258 139.301
229 145.447 139.301
230 146.285 139.301
231 144.718 139.301
232 143.048 139.301
233 142.282 139.08
234 142.16 137.104
235 142.325 137.104
236 142.13 137.104
237 141.469 137.104
238 141.514 137.104
239 140.255 137.104
240 140.06 137.104
241 139.757 137.104
242 139.54 137.104
243 139.269 137.104
244 140.494 136.479
245 138.693 136.409
246 138.182 136.409
247 138.281 136.409
248 138.429 135.319
249 138.638 135.319
250 138.53 135.319
251 138.134 135.319
252 139.395 134.695
253 139.399 134.695
254 139.204 134.695
255 139.284 134.695
256 139.49 134.695
257 138.278 134.484
258 138.285 134.011
259 137.786 134.011
260 138.158 133.386
261 138.22 133.386
262 137.816 133.386
263 138.796 133.386
264 139.007 133.386
265 139.45 133.386
266 139.013 133.386
267 139.843 133.386
268 137.96 133.186
269 136.569 133.052
270 136.59 133.052
271 135.459 133.036
272 136.577 132.915
273 136.615 132.915
274 135.82 132.781
275 135.269 132.694
276 135.494 132.123
277 135.803 132.123
278 135.398 132.123
279 134.972 131.896
280 134.74 131.896
281 133.841 131.871
282 134.218 131.871
283 134.267 131.871
284 134.755 131.871
285 134.97 131.871
286 135.032 131.871
287 135.032 131.871
288 135.142 131.871
289 135.409 131.871
290 135.529 131.871
291 135.636 131.871
292 135.766 131.871
293 135.914 131.871
294 135.416 130.955
295 134.926 130.981
296 134.757 130.981
297 134.241 130.981
298 134.363 130.981
299 134.441 130.955
300 134.157 127.485
301 133.657 127.485
302 133.717 127.485
303 133.881 127.485
304 134.046 127.485
305 134.974 127.485
306 135.248 127.292
307 134.487 124.841
308 134.252 124.867
309 132.807 124.867
310 132.053 123.277
311 132.179 123.015
312 132.422 123.015
313 131.109 122.456
314 129.607 122.113
315 129.721 122.113
316 127.885 121.296
317 127.939 121.296
318 128.268 121.217
319 128.357 121.217
320 128.467 121.217
321 126.821 119.894
322 126.235 119.894
323 124.34 119.894
324 124.376 119.894
325 122.219 119.894
326 122.111 119.466
327 121.671 119.063
328 121.538 119.063
329 121.244 119.063
330 121.364 119.063
331 121.056 119.063
332 121.289 119.063
333 121.542 119.063
334 121.54 119.063
335 121.674 119.063
336 121.513 119.063
337 121.907 118.269
338 122.316 117.866
339 121.384 117.866
340 120.323 117.866
341 120.388 117.796
342 120.49 117.796
343 120.07 116.935
344 120.338 116.935
345 120.451 116.935
346 120.261 116.935
347 119.782 116.865
348 120.141 116.066
349 119.122 116.066
350 119.134 116.066
351 118.896 115.996
352 119.106 115.996
353 119.054 115.996
354 120.722 115.996
355 119.447 115.996
356 119.799 115.996
357 119.998 115.996
358 120.325 115.996
359 117.647 115.996
360 116.85 115.838
361 117.027 115.838
362 117.678 115.838
363 117.77 115.838
364 117.892 115.838
365 118.031 115.838
366 118.15 115.838
367 118.357 115.838
368 119.505 115.838
369 119.698 115.838
370 118.272 115.838
371 118.435 115.838
372 118.727 115.838
373 117.41 115.838
374 117.729 115.796
375 117.79 115.796
376 118.125 115.796
377 117.95 115.796
378 118.805 115.639
379 118.787 115.639
380 118.821 115.639
381 119.831 115.639
382 119.973 115.639
383 121.625 115.639
384 122.592 115.095
385 121.009 115.095
386 119.271 115.095
387 119.317 115.095
388 119.788 115.095
389 119.159 115.095
390 118.348 115.095
391 118.296 115.095
392 118.49 115.095
393 118.128 115.095
394 118.379 115.095
395 118.497 115.095
396 118.765 115.095
397 119.503 115.016
398 119.513 115.016
399 120.293 115.016
400 118.027 108.775
401 117.902 110.778
402 118.409 110.778
403 118.135 109.045
404 116.836 109.045
405 116.917 109.045
406 116.972 109.045
407 117.063 108.654
408 116.153 108.654
409 113.86 108.654
410 113.662 108.654
411 113.361 108.654
412 113.411 108.654
413 112.204 108.571
414 112.335 108.571
415 111.332 108.571
416 111.733 108.571
417 111.939 108.571
418 111.937 108.571
419 110.365 108.571
420 109.9 108.563
421 109.918 108.563
422 110.914 108.563
423 111.515 108.563
424 110.111 108.563
425 110.666 108.563
426 111.18 108.563
427 110.339 108.563
428 110.341 108.563
429 110.432 108.563
430 110.577 108.563
431 110.844 108.563
432 110.207 108.563
433 110.933 108.271
434 111.599 108.271
435 110.508 108.271
436 110.093 108.148
437 109.551 108.148
438 110.173 108.148
439 110.211 108.148
440 112.792 108.148
441 112.129 108.148
442 111.275 108.148
443 112.576 108.148
444 112.709 108.055
445 110.949 108.055
446 110.98 108.055
447 111.442 108.055
448 111.527 108.055
449 110.567 108.055
450 110.365 101.974
451 110.474 101.974
452 110.681 101.974
453 110.513 101.496
454 109.162 101.496
455 109.373 101.496
456 109.493 101.496
457 108.155 101.496
458 108.481 101.496
459 107.988 101.496
460 105.709 101.496
461 105.994 101.496
462 104.315 101.496
463 105.361 101.496
464 104.209 101.204
465 104.311 101.204
466 104.282 101.204
467 104.338 101.204
468 104.702 101.204
469 104.98 101.204
470 104.629 101.204
471 104.839 101.204
472 104.877 101.204
473 104.672 101.204
474 104.018 101.204
475 105.301 101.204
476 105.301 101.204
477 105.358 101.204
478 104.239 101.204
