n_block      H_average        errore
1 -0.139536 0
2 -0.135172 0.00436354
3 -0.144226 0.00939747
4 -0.140397 0.00766933
5 -0.141024 0.0059737
6 -0.148002 0.00851377
7 -0.148405 0.00720669
8 -0.149634 0.00636097
9 -0.146428 0.0064611
10 -0.147821 0.00594444
11 -0.144495 0.00632239
12 -0.143697 0.00582641
13 -0.142929 0.00541423
14 -0.142786 0.00501466
15 -0.14465 0.00502698
16 -0.143901 0.00476154
17 -0.144528 0.00451631
18 -0.143876 0.00430752
19 -0.145029 0.0042345
20 -0.143981 0.00415183
21 -0.144223 0.0039566
22 -0.143713 0.00380678
23 -0.143543 0.00364146
24 -0.143123 0.00351166
25 -0.145103 0.00390703
26 -0.14467 0.00377868
27 -0.144445 0.00364297
28 -0.142977 0.00380503
29 -0.143546 0.00371527
30 -0.142404 0.00376644
31 -0.142514 0.00364457
32 -0.142116 0.00355123
33 -0.142063 0.00344234
34 -0.142472 0.00336455
35 -0.142568 0.00326842
36 -0.142871 0.00319075
37 -0.143347 0.00313957
38 -0.143091 0.00306653
39 -0.143397 0.00300243
40 -0.14362 0.00293495
41 -0.143072 0.00291446
42 -0.143564 0.00288642
43 -0.143312 0.00282975
44 -0.143025 0.00277954
45 -0.142459 0.00277542
46 -0.143605 0.0029465
47 -0.143761 0.00288732
48 -0.143364 0.00285425
49 -0.142725 0.00286736
50 -0.14294 0.00281758
51 -0.142263 0.00284355
52 -0.141427 0.00291098
53 -0.141164 0.00286758
54 -0.141296 0.00281709
55 -0.140616 0.00284793
56 -0.14029 0.00281546
57 -0.140445 0.00276995
58 -0.140855 0.00275244
59 -0.140772 0.00270666
60 -0.140874 0.00266313
61 -0.140917 0.00261946
62 -0.141339 0.00261124
63 -0.140988 0.00259334
64 -0.141097 0.0025548
65 -0.142203 0.00274774
66 -0.142415 0.00271411
67 -0.142875 0.00271249
68 -0.142991 0.00267484
69 -0.143064 0.00263679
70 -0.143628 0.00265942
71 -0.144102 0.00266407
72 -0.14404 0.00262754
73 -0.143975 0.00259211
74 -0.143957 0.00255691
75 -0.144355 0.00255384
76 -0.144434 0.00252125
77 -0.144486 0.00248882
78 -0.144541 0.00245733
79 -0.145075 0.00248401
80 -0.145284 0.00246168
81 -0.145414 0.00243458
82 -0.145609 0.00241258
83 -0.145387 0.00239367
84 -0.145334 0.00236559
85 -0.145534 0.0023461
86 -0.145252 0.00233573
87 -0.145418 0.00231469
88 -0.145151 0.00230376
89 -0.144931 0.00228828
90 -0.144832 0.0022649
91 -0.144524 0.00226096
92 -0.144687 0.00224218
93 -0.144571 0.00222099
94 -0.145078 0.00225504
95 -0.14483 0.00224496
96 -0.14512 0.00224031
97 -0.144764 0.00224543
98 -0.144694 0.0022235
99 -0.1445 0.00220944
100 -0.144746 0.00220098
