BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   0.0530348   0.0530348           0
           2     1.59016    0.424057    0.262353
           3     1.58852    0.459207    0.177241
           4     1.58729    0.443611    0.133615
           5     1.58861    0.418433    0.109238
           6     1.60184     0.39319   0.0939034
           7     1.60306    0.369735   0.0833663
           8     1.57062    0.348059   0.0757111
           9     1.59066    0.329024   0.0696506
          10     1.58828    0.312004   0.0647316
          11     1.58978    0.296779    0.060611
          12     1.59295    0.283109   0.0570807
          13     1.59514    0.270771    0.054007
          14     1.58933    0.259539   0.0513041
          15     1.59153    0.249309   0.0488929
          16     1.59276    0.239949   0.0467245
          17     1.59113     0.23134   0.0447621
          18     1.59442    0.223409   0.0429722
          19     1.59023    0.216056   0.0413348
          20     1.58778    0.209222   0.0398289
          21     1.59334    0.202873   0.0384352
          22     1.59358    0.196944   0.0371426
          23     1.59317    0.191392   0.0359401
          24     1.59025    0.186179   0.0348188
          25     1.59261     0.18128   0.0337689
          26     1.59376    0.176665   0.0327839
          27     1.59368    0.172308   0.0318579
          28     1.59293    0.168186   0.0309856
          29     1.59377    0.164282   0.0301621
          30     1.59628    0.160579   0.0293831
          31     1.59433    0.157058   0.0286454
          32     1.59167    0.153704   0.0279459
          33       1.592    0.150509   0.0272812
          34     1.59377    0.147461   0.0266485
          35     1.59472    0.144549   0.0260457
          36     1.59414    0.141764   0.0254707
          37     1.59274    0.139096   0.0249216
          38     1.59414     0.13654   0.0243965
          39     1.59547    0.134088   0.0238939
          40     1.59318    0.131731   0.0234125
          41     1.59333    0.129466   0.0229507
          42     1.59519    0.127288   0.0225074
          43     1.59738    0.125191   0.0220814
          44     1.59315    0.123169    0.021672
          45     1.59331    0.121219   0.0212779
          46     1.59397    0.119337   0.0208984
          47     1.59466     0.11752   0.0205326
          48     1.59543    0.115764   0.0201798
          49      1.5956    0.114066   0.0198393
          50     1.59594    0.112423   0.0195104
           1     1.59323     7.21438           0
           2     1.59336     4.00553     2.61399
           3     1.59335     2.84739     1.46379
           4     1.59403     2.23517    0.961327
           5     1.59456     1.85192    0.688441
           6     1.59513     1.58757    0.520481
           7     1.59491     1.39333    0.408274
           8     1.59054     1.24401    0.328804
           9     1.59266     1.12545     0.27005
          10     1.59428     1.02885    0.225105
          11     1.59414    0.948493    0.189757
          12     1.59171    0.880506    0.161305
          13      1.5929      0.8222    0.137957
          14     1.59401    0.771604    0.118462
          15     1.59234    0.727241     0.10192
          16     1.59162    0.688005   0.0876733
          17     1.59229    0.653044   0.0752231
          18     1.59388    0.621683   0.0641747
          19     1.59385    0.593378   0.0541966
          20     1.59091    0.567687    0.044987
          21     1.58875    0.544257   0.0362332
          22     1.59115    0.522805   0.0275129
          23     1.59142    0.503083   0.0179028
          24     1.59065    0.484883  0.00480495
          25     1.59024    0.468032   0.0171427
          26     1.59124    0.452384   0.0225194
          27     1.59325    0.437815   0.0259742
          28     1.58999    0.424207   0.0283884
          29      1.5895    0.411469    0.030132
          30      1.5896    0.399519   0.0314077
          31     1.59506    0.388292   0.0323393
          32     1.59197    0.377712   0.0330138
          33     1.58796    0.367724   0.0334901
          34     1.59099    0.358285   0.0338092
          35     1.58928    0.349346   0.0340045
          36     1.59047    0.340869   0.0341001
          37     1.59265     0.33282   0.0341153
          38     1.58651     0.32516   0.0340666
          39     1.58909    0.317867   0.0339647
          40       1.592    0.310916   0.0338195
          41     1.59306     0.30428   0.0336393
          42     1.59135    0.297937    0.033431
          43     1.61105     0.29188   0.0331978
          44     1.57759    0.286061   0.0329493
          45     1.58055    0.280485   0.0326855
          46     1.59346     0.27514    0.032409
          47     1.59466    0.270008   0.0321232
          48     1.59333    0.265075   0.0318306
          49     1.59183    0.260328   0.0315329
          50     1.59024    0.255757   0.0312317
