BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         0.1         0.1           0
           2     3.00854    0.802134    0.496484
           3     3.05722    0.874447    0.336214
           4     3.15043    0.852737     0.25286
           5     3.25531    0.812402     0.20548
           6     3.17747    0.765265    0.176557
           7      2.6712    0.710455    0.159616
           8     2.89645    0.666906    0.145484
           9     3.23435    0.632735    0.133271
          10     3.20826    0.601544     0.12354
          11     3.28644    0.574019    0.115335
          12     3.29286    0.549051    0.108392
          13     3.15274    0.525472    0.102587
          14     3.14453    0.503982   0.0974845
          15     3.15746    0.484416   0.0929283
          16     3.12294    0.466339   0.0888611
          17     3.09233    0.449607   0.0851946
          18     3.05812    0.434068   0.0818665
          19     2.98387    0.419488   0.0788454
          20     3.09036    0.406239    0.076008
          21     3.11616    0.393961   0.0733737
          22     3.05067    0.382356   0.0709502
          23     2.97675    0.371359   0.0687124
          24     2.98908    0.361075   0.0666145
          25     3.01022    0.351449   0.0646418
          26     2.96236    0.342314   0.0627977
          27     2.92334    0.333645   0.0610672
          28     2.86795    0.325388   0.0594419
          29      2.8626    0.317571   0.0579038
          30     2.77536    0.310069   0.0564576
          31     2.68721    0.302863   0.0550943
          32     2.67752    0.296013   0.0537967
          33     2.72057    0.289542   0.0525544
          34     2.72066    0.283379   0.0513687
          35      2.6854    0.277475   0.0502392
          36     2.64141    0.271805   0.0491625
          37     2.64383     0.26639   0.0481311
          38     2.64811    0.261214    0.047142
          39     2.60587    0.256229    0.046196
          40     2.57967    0.251436   0.0452891
          41     2.60261    0.246852   0.0444159
          42     2.59553    0.242446   0.0435764
          43     2.51412    0.238167   0.0427725
          44     2.46981     0.23403       0.042
          45     2.51214     0.23007    0.041253
          46     2.52459    0.226261   0.0405316
          47      2.5273    0.222591    0.039835
          48     2.50509    0.219041    0.039163
          49     2.47219    0.215601   0.0385146
          50     2.43534    0.212263   0.0378886
           1     2.43534     13.0485           0
           2     2.47219     7.14229     4.70968
           3     2.50509     5.03987     2.62897
           4      2.5273     3.93786     1.72536
           5     2.52459     3.25127     1.23615
           6     2.51214     2.77917    0.935647
           7     2.46981     2.43255    0.734979
           8     2.51412     2.16777    0.593497
           9     2.59553     1.95895     0.48944
          10     2.60261     1.78908     0.40996
          11     2.57967     1.64776    0.347479
          12     2.60587     1.52854    0.297369
          13     2.64811     1.42663    0.256438
          14     2.64383     1.33822    0.222358
          15     2.64141     1.26074    0.193567
          16      2.6854     1.19243    0.168988
          17     2.72066      1.1317    0.147733
          18     2.72057     1.07723    0.129091
          19     2.67752     1.02795    0.112499
          20     2.68721     0.98327   0.0975988
          21     2.77536    0.942741   0.0841162
          22      2.8626    0.905804   0.0717257
          23     2.86795    0.871843    0.060031
          24     2.92334    0.840591   0.0487207
          25     2.96236    0.811707   0.0372384
          26     3.01022    0.784941   0.0243555
          27     2.98908    0.759969    0.007101
          28     2.97675    0.736624    0.023925
          29     3.05067    0.714851   0.0314856
          30     3.11616    0.694485   0.0364322
          31     3.09036    0.675298   0.0399914
          32     2.98387    0.657109   0.0426782
          33     3.05812    0.640005   0.0446811
          34     3.09233    0.623856    0.046193
          35     3.12294    0.608581   0.0473315
          36     3.15746    0.594112   0.0481775
          37     3.14453    0.580352   0.0488009
          38     3.15274    0.567263   0.0492407
          39     3.29286    0.554883     0.04951
          40     3.28644    0.543065   0.0496627
          41     3.20826    0.531728   0.0497286
          42     3.23435    0.520901   0.0497092
          43     2.89645    0.510353   0.0496595
          44      2.6712    0.500134   0.0495712
          45     3.17747    0.490589     0.04938
          46     3.25531    0.481463   0.0491427
          47     3.15043    0.472645   0.0488818
          48     3.05722    0.464125   0.0486003
          49     3.00854    0.455906   0.0482984
          50     3.00729    0.447991   0.0479766
