BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.42621    -5.42621           0
           2    -5.43018    -5.42819  0.00140239
           3      -5.411    -5.42246  0.00477268
           4    -5.45435    -5.43043  0.00777631
           5    -5.43061    -5.43047  0.00622113
           6    -5.44867     -5.4335  0.00587733
           7    -5.45901    -5.43715  0.00606269
           8    -5.46515    -5.44065  0.00623415
           9    -5.41625    -5.43794  0.00610223
          10      -5.448    -5.43894  0.00557436
          11    -5.44989    -5.43994  0.00515572
          12    -5.40787    -5.43726  0.00537423
          13    -5.46743    -5.43959  0.00543873
          14     -5.4572    -5.44084  0.00519382
          15     -5.4503    -5.44147  0.00488563
          16    -5.42319    -5.44033  0.00471203
          17    -5.43728    -5.44015  0.00443826
          18    -5.45092    -5.44075  0.00423184
          19    -5.47347    -5.44247  0.00434547
          20    -5.44081    -5.44239  0.00412898
          21    -5.42626    -5.44162  0.00400318
          22    -5.45877     -5.4424  0.00389634
          23     -5.4297    -5.44185  0.00376585
          24    -5.45495    -5.44239  0.00364828
          25    -5.43227    -5.44199  0.00352474
          26    -5.46452    -5.44286  0.00349403
          27    -5.45331    -5.44324    0.003386
          28    -5.45625    -5.44371  0.00329678
          29    -5.43498    -5.44341  0.00319679
          30    -5.42842    -5.44291  0.00312902
          31     -5.4243    -5.44231  0.00308511
          32    -5.44307    -5.44233  0.00298879
          33    -5.45326    -5.44266  0.00291653
          34    -5.43084    -5.44231   0.0028514
          35    -5.45437    -5.44266  0.00279064
          36    -5.44093    -5.44261  0.00271354
          37    -5.43906    -5.44251  0.00264189
          38    -5.43999    -5.44245  0.00257321
          39    -5.40251    -5.44142  0.00270335
          40    -5.45301    -5.44171  0.00265125
          41    -5.44267    -5.44174  0.00258668
          42    -5.46044    -5.44218  0.00256312
          43    -5.43404    -5.44199   0.0025105
          44    -5.42878    -5.44169  0.00247134
          45    -5.44819    -5.44184  0.00242063
          46    -5.44898    -5.44199  0.00237299
          47    -5.41313    -5.44138  0.00240064
          48     -5.4778    -5.44214  0.00246766
          49    -5.44962    -5.44229  0.00242202
          50      -5.455    -5.44254  0.00238688
          51    -5.43059    -5.44231  0.00235155
          52    -5.41688    -5.44182  0.00235662
          53    -5.43573    -5.44171  0.00231496
          54    -5.48172    -5.44245  0.00238771
          55     -5.4509     -5.4426  0.00234924
          56    -5.45419    -5.44281  0.00231639
          57     -5.4457    -5.44286  0.00227631
          58    -5.46962    -5.44332  0.00228334
          59    -5.44246    -5.44331  0.00224468
          60    -5.45465    -5.44349  0.00221522
          61    -5.43379    -5.44334  0.00218461
          62    -5.44477    -5.44336  0.00214949
          63    -5.41242    -5.44287  0.00217075
          64     -5.4296    -5.44266  0.00214671
          65    -5.47339    -5.44313  0.00216512
          66    -5.42281    -5.44282   0.0021541
          67    -5.40848    -5.44231   0.0021821
          68    -5.45266    -5.44246   0.0021553
          69    -5.43136     -5.4423  0.00213007
          70    -5.45213    -5.44244  0.00210425
          71    -5.42366    -5.44218  0.00209119
          72    -5.44679    -5.44224  0.00206312
          73     -5.4309    -5.44209   0.0020407
          74    -5.45582    -5.44227  0.00202154
          75    -5.43533    -5.44218  0.00199671
          76     -5.4661     -5.4425  0.00199509
          77     -5.4803    -5.44299  0.00202869
          78    -5.43321    -5.44286  0.00200655
          79    -5.44927    -5.44294  0.00198279
          80    -5.48379    -5.44345  0.00202269
          81    -5.44901    -5.44352  0.00199888
          82    -5.43542    -5.44342  0.00197695
          83    -5.45219    -5.44353  0.00195595
          84    -5.42176    -5.44327  0.00194976
          85    -5.42653    -5.44307  0.00193674
          86    -5.46104    -5.44328  0.00192546
          87    -5.42795     -5.4431  0.00191137
          88    -5.48023    -5.44353  0.00193564
          89    -5.45158    -5.44362    0.001916
          90    -5.44456    -5.44363  0.00189474
          91    -5.46048    -5.44381  0.00188296
          92    -5.41742    -5.44353  0.00188422
          93    -5.46891     -5.4438  0.00188362
          94    -5.41447    -5.44349  0.00188925
          95    -5.40894    -5.44312  0.00190405
          96     -5.4595    -5.44329  0.00189184
          97    -5.44202    -5.44328  0.00187239
          98    -5.42503    -5.44309  0.00186252
          99    -5.44322     -5.4431   0.0018437
         100     -5.4827    -5.44349  0.00186733
