n_step r error
0 1 0
1 1.4173 0.0043583
2 1.7309 0.00577588
3 1.99337 0.00702312
4 2.22233 0.00799329
5 2.43666 0.00792678
6 2.6404 0.00855948
7 2.8312 0.0091283
8 2.99956 0.00965061
9 3.16919 0.0109718
10 3.32116 0.0110896
11 3.47331 0.0124664
12 3.61767 0.0141079
13 3.75453 0.014188
14 3.88764 0.0133207
15 4.01766 0.0141501
16 4.14593 0.0147491
17 4.26879 0.0153768
18 4.3917 0.0167676
19 4.49978 0.018
20 4.61001 0.0186567
21 4.71113 0.0188734
22 4.81513 0.0191479
23 4.92272 0.0192536
24 5.02988 0.0200155
25 5.13047 0.0209285
26 5.22667 0.0208285
27 5.30819 0.0217418
28 5.39312 0.0218492
29 5.48134 0.0221114
30 5.56553 0.0225238
31 5.65222 0.023208
32 5.72384 0.0237905
33 5.8082 0.0244673
34 5.89314 0.0245041
35 5.97477 0.0259432
36 6.05677 0.0257992
37 6.15003 0.0262385
38 6.23559 0.0265248
39 6.32409 0.0265372
40 6.39524 0.0270685
41 6.46262 0.0265486
42 6.54229 0.0262898
43 6.62158 0.0265469
44 6.70396 0.0272546
45 6.77298 0.0271655
46 6.84738 0.0280145
47 6.91815 0.0285646
48 6.98458 0.0295163
49 7.05507 0.0291444
50 7.12329 0.0286823
51 7.19015 0.028759
52 7.25934 0.0292753
53 7.3262 0.0290043
54 7.38796 0.0289946
55 7.44963 0.0302818
56 7.50896 0.0311164
57 7.57047 0.0310824
58 7.62294 0.0301659
59 7.68116 0.0307183
60 7.75148 0.0304271
61 7.812 0.0299982
62 7.87906 0.0312285
63 7.94039 0.032056
64 7.99835 0.0324447
65 8.06036 0.0321401
66 8.12968 0.033155
67 8.18706 0.0333159
68 8.2557 0.0347696
69 8.32114 0.0341862
70 8.38749 0.0353197
71 8.44027 0.0345627
72 8.49394 0.0350359
73 8.55122 0.0350893
74 8.61184 0.0360451
75 8.66812 0.0364496
76 8.72584 0.0370633
77 8.78348 0.0377528
78 8.83942 0.0381884
79 8.89773 0.0383215
80 8.95267 0.0386656
81 9.01603 0.039072
82 9.06741 0.0391095
83 9.12793 0.0388881
84 9.18492 0.0391291
85 9.23686 0.0400341
86 9.28491 0.0402745
87 9.35113 0.041162
88 9.40898 0.0409106
89 9.44905 0.0417234
90 9.50881 0.0425521
91 9.56489 0.0421172
92 9.61585 0.0410688
93 9.66378 0.0401452
94 9.70972 0.0389638
95 9.75974 0.0388943
96 9.80659 0.0387841
97 9.85905 0.0385789
98 9.91132 0.0391502
99 9.95784 0.0389487
