N  Half_pop_ave        L
0 494.148 456.241
1 479.375 445.714
2 465.132 421.264
3 452.993 416.146
4 441.479 388.93
5 441.6 388.93
6 426.801 388.93
7 426.88 388.93
8 414.214 383.602
9 403.844 373.845
10 395.983 370.833
11 395.983 370.833
12 395.928 370.833
13 393.045 367.005
14 386.554 366.205
15 379.433 361.271
16 375.11 359.458
17 375.129 359.458
18 370.084 348.444
19 369.958 348.444
20 363.777 344.454
21 359.626 334.304
22 349.719 324.484
23 349.782 324.484
24 342.927 324.243
25 335.17 323.039
26 331.628 318.637
27 329.394 316.598
28 329.493 316.598
29 326.293 315.094
30 325.175 314.965
31 323.297 312.127
32 320.639 309.172
33 318.658 305.973
34 316.167 303.241
35 313.332 297.209
36 310.207 292.349
37 307.248 292.349
38 306.981 292.349
39 307.031 292.349
40 302.745 280.694
41 303.013 280.694
42 297.619 280.191
43 297.775 280.191
44 294.179 276.172
45 290.186 276.172
46 290.365 276.172
47 290.381 276.172
48 287.97 274.696
49 284.1 274.696
50 282.168 271.012
51 281.438 262.78
52 277.136 261.837
53 277.252 261.837
54 271.969 261.837
55 269.622 255.378
56 266.737 255.378
57 266.82 255.378
58 265.1 252.326
59 265.118 252.326
60 265.027 252.326
61 264.473 251.53
62 261.424 250.445
63 261.575 250.445
64 257.534 241.702
65 257.615 241.702
66 254.793 241.742
67 253.468 237.169
68 251.273 236.407
69 248.797 231.717
70 245.992 227.22
71 244.03 227.22
72 243.364 226.69
73 243.432 226.69
74 236.968 218.878
75 237.089 218.878
76 234.156 218.878
77 234.335 218.878
78 234.408 218.878
79 232.435 218.878
80 228.389 217.562
81 226.833 217.562
82 226.879 217.235
83 224.583 215.973
84 224.663 215.973
85 223.903 215.973
86 223.344 215.973
87 223.628 215.973
88 222.174 213.567
89 222.325 213.567
90 219.597 212.588
91 219.169 211.981
92 219.187 211.981
93 219.26 211.981
94 217.258 210.371
95 217.235 209.853
96 213.634 205.831
97 213.738 205.831
98 213.006 205.831
99 213.006 205.831
100 211.742 205.831
101 210.849 201.331
102 209.925 201.016
103 209.925 201.016
104 209.633 200.625
105 206.705 200.625
106 204.812 200.625
107 205.08 200.625
108 205.173 200.625
109 203.638 199.945
110 203.638 199.945
111 203.745 199.945
112 203.197 196.705
113 203.613 196.705
114 203.751 196.705
115 203.853 196.705
116 201.684 195.616
117 202.48 195.616
118 204.053 195.092
119 204.106 195.092
120 202.727 195.092
121 202.855 194.854
122 200.678 192.76
123 198.558 191.569
124 197.25 187.594
125 196.349 187.594
126 196.35 187.594
127 196.465 187.594
128 195.048 187.427
129 194.13 187.381
130 192.773 186.346
131 191.299 185.619
132 191.55 185.619
133 190.339 184.584
134 188.689 184.552
135 189.779 184.552
136 189.795 184.552
137 189.987 184.552
138 188.842 182.763
139 189.209 182.109
140 188.339 181.482
141 189.997 181.359
142 189.148 180.423
143 185.513 179.553
144 183.934 177.833
145 183.366 177.833
146 182.531 177.833
147 182.638 177.833
148 182.693 177.833
149 182.921 177.833
150 181.807 176.695
151 182.07 176.695
152 180.998 176.117
153 180.368 171.672
154 180.317 171.672
155 179.118 169.831
156 178.711 169.831
157 178.899 169.831
158 178.956 169.831
159 177.665 169.78
160 175.688 168.821
161 175.817 168.821
162 175.927 168.821
163 175.981 168.821
164 175.163 168.589
165 175.23 168.589
166 174.867 167.676
167 175.047 167.676
168 173.157 166.148
169 173.54 166.148
170 173.663 166.148
171 172.124 166.148
172 170.195 164.906
173 170.442 164.906
174 170.577 163.694
175 170.365 163.694
176 170.737 163.694
177 170.777 163.694
178 170.797 163.513
179 170.188 160.429
180 170.372 160.429
181 170.11 159.133
182 169.014 159.133
183 166.552 159.133
184 164.472 159.133
185 163.773 159.125
186 161.9 158.049
187 161.94 158.049
188 162.063 158.049
189 162.18 158.049
190 162.052 157.547
191 162.308 157.547
192 160.54 157.095
193 158.96 157.095
194 159.095 156.65
195 158.934 156.148
196 159.507 155.915
197 159.063 155.915
198 159.203 155.915
199 159.306 155.915
200 159.94 154.526
201 159.749 154.526
202 159.924 154.526
203 159.128 154.526
204 159.946 154.02
205 159.822 153.518
206 158.718 153.518
207 159.153 150.321
208 157.632 150.321
209 156.397 149.662
210 154.4 149.662
211 154.167 149.662
212 153.036 149.662
213 151.686 149.367
214 151.834 149.367
215 152.416 148.865
216 152.513 148.865
217 152.972 148.174
218 152.987 148.174
219 153.158 148.174
220 153.151 148.174
221 153.338 148.174
222 152.866 147.158
223 152.561 147.158
224 151.36 147.158
225 150.208 146.879
226 152.283 145.419
227 151.403 145.139
228 150.312 143.369
229 150.334 143.369
230 150.591 143.369
231 149.507 143.087
232 149.619 143.087
233 149 142.621
234 147.885 139.942
235 148.024 139.942
236 146.4 139.194
237 146.487 139.194
238 144.696 138.554
239 144.995 138.554
240 144.813 138.554
241 143.374 138.554
242 143.411 138.554
243 141.585 138.305
244 142.39 137.796
245 142.807 137.796
246 142.639 137.079
247 142.639 137.079
248 143.047 137.079
249 142.983 137.079
250 143.091 137.079
251 143.118 137.079
252 143.97 137.079
253 144.517 136.926
254 144.633 136.926
255 144.714 136.926
256 144.722 136.926
257 144.807 136.926
258 145.907 132.78
259 142.963 132.78
260 143.618 132.78
261 142.231 132.78
262 139.865 132.78
263 137.828 132.428
264 136.94 132.428
265 136.854 132.003
266 137.347 131.85
267 136.704 131.85
268 137.826 131.85
269 137.889 131.85
270 138.085 131.85
271 138.195 131.85
272 137.916 131.85
273 138.285 131.85
274 138.51 131.85
275 137.773 131.85
276 136.683 129.76
277 135.565 129.76
278 133.733 128.013
279 134.067 128.013
280 134.067 128.013
281 134.27 128.013
282 134.754 128.013
283 133.888 128.013
284 134.22 128.013
285 134.302 128.013
286 134.358 128.013
287 134.68 128.013
288 132.859 126.596
289 133.166 126.596
290 133.211 126.596
291 133.366 126.596
292 131.669 124.271
293 131.94 124.271
294 129.894 124.271
295 128.609 123.716
296 127.254 123.716
297 126.942 123.716
298 127.094 123.716
299 127.344 123.716
300 127.468 123.716
301 126.971 123.716
302 126.782 123.716
303 126.663 123.716
304 126.843 123.716
305 127.085 123.716
306 125.678 123.009
307 125.769 123.009
308 125.97 123.009
309 126.078 123.009
310 127.108 123.009
311 126.633 123.009
312 128.358 123.009
313 126.714 123.009
314 125.823 122.367
315 126.007 122.367
316 126.193 122.367
317 126.322 122.367
318 125.281 122.367
319 124.169 122.367
320 124.41 122.367
321 125.262 122.367
322 124.776 122.367
323 124.504 122.367
324 124.693 122.367
325 124.244 122.367
326 123.788 122.367
327 122.946 120.843
328 123.016 120.843
329 123.016 120.843
330 124.108 120.843
331 124.572 120.843
332 125.518 120.843
333 125.784 120.843
334 125.445 120.655
335 123.393 120.345
336 124.957 120.345
337 125.191 120.345
338 124.733 120.107
339 123.702 120.107
340 124.231 120.107
341 122.965 120.107
342 122.443 120.107
343 122.539 120.107
344 122.119 119.878
345 121.103 118.981
346 121.118 118.981
347 121.396 118.981
348 121.06 118.981
349 121.06 118.981
350 122.543 118.981
351 122.741 118.981
352 122.675 118.981
353 122.858 118.981
354 121.76 118.981
355 122.477 118.981
356 122.477 118.981
357 121.094 118.981
358 120.319 118.981
359 121.337 118.981
360 121.584 118.981
361 120.928 118.981
362 121.032 118.981
363 121.864 118.981
364 122.157 118.981
365 120.213 118.641
366 120.292 118.641
367 120.463 118.641
368 120.259 118.641
369 120.404 118.641
370 120.278 118.641
371 120.775 118.641
372 120.574 118.641
373 119.979 118.641
374 119.019 117.958
375 118.825 117.605
376 119.767 117.605
377 119.953 117.605
378 120.003 117.605
379 119.602 117.605
380 118.431 116.372
381 118.48 116.372
382 118.98 116.372
383 118.495 115.869
384 118.417 115.869
385 117.088 115.869
386 117.634 115.869
387 117.721 115.869
388 117.915 115.869
389 117.594 115.731
390 117.631 115.731
391 117.157 115.057
392 117.057 115.057
393 116.347 112.656
394 116.264 112.656
395 116.533 112.656
396 116.297 112.656
397 115.75 111.622
398 115.769 111.622
399 115.884 111.622
400 114.642 111.622
401 113.266 111.622
402 114.346 111.237
403 113.206 111.237
404 113.883 111.237
405 114.829 110.692
406 114.954 110.692
407 115.005 110.692
408 115.217 110.692
409 115.311 110.692
410 116.453 110.692
411 115.081 110.692
412 114.974 110.692
413 114.068 110.692
414 114.2 110.692
415 113.345 110.692
416 113.398 110.692
417 113.13 110.692
418 113.19 110.692
419 113.195 110.692
420 113.195 110.692
421 114.193 110.692
422 113.854 110.245
423 114.923 110.245
424 114.187 110.245
425 114.365 110.245
426 112.314 109.95
427 113.476 109.95
428 113.019 109.95
429 113.337 109.95
430 114.487 109.95
431 112.278 109.318
432 111.418 108.87
433 111.176 108.87
434 111.491 108.817
435 111.094 108.817
436 111.167 108.817
437 110.852 108.621
438 110.947 108.621
439 110.253 108.621
440 111.45 108.621
441 111.796 108.569
442 110.866 108.569
443 110.781 108.569
444 111.671 108.569
445 112.875 108.539
446 112.916 108.539
447 111.305 108.131
448 111.361 108.131
449 110.825 108.131
450 111.029 108.131
451 111.313 108.102
452 111.331 108.102
453 111.101 108.102
454 110.422 108.102
455 110.36 108.102
456 110.676 108.102
457 110.402 108.102
458 110.645 108.102
459 110.187 108.102
460 110.511 108.081
461 110.851 107.463
462 110.943 107.463
463 110.452 107.463
464 111.046 107.463
465 111.265 107.463
466 111.673 107.463
467 111.59 106.28
468 110.793 106.28
469 109.491 106.158
470 109.815 106.158
471 109.949 106.158
472 109.221 106.158
473 108.279 106.158
474 109.551 106.158
475 109.555 106.158
476 109.63 106.158
477 109.107 106.158
478 110.314 106.158
479 109.826 106.158
480 110.129 106.158
481 109.453 105.526
482 109.501 105.526
483 109.432 105.526
484 109.514 105.526
485 109.646 105.526
486 109.562 105.526
487 109.754 105.526
488 108.416 105.526
489 108.595 105.526
490 108.671 105.526
491 108.876 105.526
492 108.629 105.526
493 108.729 105.526
494 107.949 105.526
495 107.959 105.526
496 107.243 105.526
497 107.199 105.526
498 108.971 105.526
499 109.08 105.526
500 109.132 105.526
501 109.538 105.526
502 109.608 105.526
503 110.652 105.526
504 110.689 105.526
505 111.037 105.526
506 108.971 105.526
507 108.772 105.526
508 107.92 105.526
509 108.424 105.526
510 109.114 105.526
511 109.177 105.526
512 109.409 105.526
513 111.456 105.526
514 110.085 105.526
515 112.783 105.526
516 110.102 105.282
517 109.229 105.282
518 109.293 105.282
519 109.18 105.282
520 109.633 105.282
521 109.255 105.282
522 109.45 105.282
523 109.802 105.282
524 109.127 105.282
525 108.582 105.282
526 107.858 105.282
527 108.39 105.282
528 108.048 104.051
529 108.186 104.051
530 108.699 104.051
531 109.065 104.051
532 109.604 103.907
533 108.124 103.907
534 107.102 103.907
535 105.531 103.907
536 105.619 103.907
537 107.25 103.848
538 107.394 103.6
539 107.466 103.6
540 107.818 103.6
541 108.193 103.6
542 108.223 103.6
543 107.182 103.6
544 106.979 103.6
545 106.922 103.6
546 107.214 103.6
547 107.356 103.6
548 106.258 103.6
549 106.029 103.127
550 106.029 103.127
551 106.25 103.127
552 107.005 103.127
553 106.104 103.127
554 106.305 103.127
555 106.625 103.127
556 106.828 103.127
557 105.965 103.127
558 106.079 103.127
559 106.281 103.127
560 106.402 103.127
561 105.763 103.127
562 105.763 103.127
563 104.63 103.127
564 105.706 103.127
565 105.723 103.127
566 105.723 103.127
567 104.541 103.127
568 105.247 103.127
569 104.42 103.127
570 103.977 102.916
571 105.517 102.916
572 104.335 102.916
573 105.233 102.916
574 106.134 102.916
575 106.154 102.916
576 105.99 102.916
577 106.113 102.916
578 106.545 102.375
579 104.658 102.375
580 104.28 102.375
581 105.113 102.375
582 104.031 102.375
583 104.419 102.375
584 104.168 102.375
585 104.439 102.375
586 104 102.375
587 104.482 101.774
588 105.923 101.774
589 105.146 101.774
590 104.627 101.774
591 104.999 101.774
592 104.327 101.101
593 104.703 101.101
594 104.817 101.101
595 104.114 101.101
596 103.49 101.101
597 102.241 101.101
598 102.722 101.101
599 102.669 101.101
600 103.316 101.101
601 102.725 101.101
602 102.22 101.101
603 102.235 101.101
604 102.338 101.101
605 103.535 101.101
606 104.111 101.101
607 104.329 101.101
608 104.497 101.101
609 104.683 101.101
610 103.168 101.101
611 103.284 101.101
612 103.493 101.101
613 104.277 101.101
614 105.175 101.101
615 105.522 101.101
616 105.618 100.841
617 104.662 100.841
618 103.644 100.655
619 103.794 100.655
620 103.414 100.655
621 104.171 100.655
622 104.302 100.655
623 103.229 100.655
624 103.336 100.655
625 102.85 100.585
626 102.865 100.585
627 103.731 100.585
628 104.195 100.585
629 104.445 100.585
630 104.589 100.585
631 105.472 100.585
632 103.982 100.585
633 103.238 100.585
634 103.678 100.378
635 103.74 100.378
636 103.199 100.378
637 103.505 100.378
638 103.749 100.378
639 103.888 100.378
640 104.448 100.378
641 103.128 100.378
642 103.514 100.378
643 102.018 100.277
644 102.063 100.277
645 103.763 100.277
646 104.013 100.277
647 103.341 100.277
648 103.197 100.277
649 103.385 100.277
650 104.478 100.277
651 105.697 100.277
652 105.224 100.277
653 108.094 100.277
654 108.102 100.277
655 108.233 100.277
656 108.47 100.277
657 106.012 100.277
658 106.012 100.277
659 106.192 100.277
660 106.459 100.277
661 102.984 100.277
662 103.196 100.277
663 104.06 100.277
664 102.352 100.096
665 102.674 100.096
666 102.896 100.096
667 103.034 100.096
668 102.561 100.096
669 102.394 100.096
670 102.032 100.096
671 101.814 100.096
672 101.486 100.096
673 102.526 100.096
674 102.998 100.096
675 102.208 100.096
676 101.254 100.096
677 100.441 100.096
678 101.162 100.096
679 100.905 100.096
680 100.94 100.096
681 101.622 100.096
682 101.821 100.096
683 103.277 100.096
684 103.358 100.096
685 103.6 100.096
686 103.746 100.096
687 103.14 99.6253
688 101.735 99.6253
689 100.573 99.6253
690 100.699 99.6253
691 100.699 99.6253
692 100.987 99.6253
693 100.646 99.6253
694 101.341 99.6253
695 101.415 99.6253
696 101.522 99.6253
697 102.528 99.6253
698 102.975 99.6253
699 103.643 99.6253
700 103.973 99.6253
701 104.201 99.6253
702 102.18 99.6253
703 101.1 99.6253
704 101.028 99.6253
705 101.12 99.6253
706 101.227 99.6253
707 101.136 99.6253
708 101.307 99.6253
709 101.488 99.6253
710 101.754 99.6253
711 102.657 98.1176
712 101.923 98.1176
713 101.821 96.8626
714 101.839 96.8626
715 100.827 96.7337
716 101.118 96.7337
717 101.88 96.7337
718 101.88 96.7337
719 101.936 96.7337
720 101.865 96.2042
721 100.313 96.2042
722 100.741 96.2042
723 100.829 96.2042
724 101.29 96.2042
725 101.29 96.2042
726 101.001 96.2042
727 101.663 96.2042
728 99.2889 95.6872
729 98.1974 95.6872
730 96.9229 95.6872
731 98.761 95.6872
732 97.7342 95.6872
733 97.711 95.6872
734 98.6261 95.6872
735 98.7128 95.6872
736 98.657 95.6872
737 98.615 95.1611
738 99.7761 95.1611
739 99.8707 95.1611
740 99.9481 95.1611
741 98.1505 95.1611
742 97.2346 95.1611
743 97.3264 95.1611
744 97.7207 95.1611
745 97.8947 95.1611
746 97.686 95.1611
747 97.7027 95.1611
748 96.3215 94.4716
749 96.595 94.4716
750 97.7527 94.4716
751 97.8845 94.4716
752 98.0312 94.4716
753 97.6888 94.4716
754 97.2236 94.4716
755 96.6655 94.1278
756 97.4613 94.1278
757 97.3128 94.1278
758 96.4067 94.1278
759 95.6381 94.1278
760 95.6414 94.1278
761 95.6414 94.1278
762 95.7008 94.1278
