Block,prog_val,prog_val2,error
1,0.501214,0.251216,0
2,0.502239,0.252245,0.00102515
3,0.500143,0.250153,0.00217812
4,0.500522,0.25053,0.00158598
5,0.501583,0.251596,0.00162352
6,0.501892,0.251905,0.00136107
7,0.502078,0.25209,0.00116522
8,0.501896,0.251907,0.00102536
9,0.501367,0.251377,0.0010477
10,0.501438,0.251448,0.000939773
11,0.501204,0.251214,0.000881482
12,0.501002,0.25101,0.000829777
13,0.501198,0.251206,0.000787986
14,0.501178,0.251186,0.000729791
15,0.50097,0.250978,0.000710709
16,0.500629,0.250637,0.000747126
17,0.500749,0.250757,0.000711967
18,0.500627,0.250635,0.000682234
19,0.500728,0.250737,0.000653315
20,0.500841,0.250849,0.000629906
21,0.500899,0.250907,0.000602006
22,0.500856,0.250864,0.000575603
23,0.500542,0.250551,0.000633622
24,0.500632,0.250641,0.000613363
25,0.500811,0.250821,0.000614837
26,0.500758,0.250767,0.000593092
27,0.50103,0.251041,0.00063223
28,0.501211,0.251223,0.000635505
29,0.501216,0.251228,0.000613222
30,0.501149,0.251161,0.000596163
31,0.501156,0.251167,0.000576647
32,0.501044,0.251055,0.000569339
33,0.500895,0.250906,0.000571586
34,0.500811,0.250822,0.000560864
35,0.500698,0.250709,0.000556284
36,0.500753,0.250764,0.000543426
37,0.500844,0.250855,0.000536251
38,0.500838,0.250848,0.000521983
39,0.500927,0.250938,0.000516244
40,0.50089,0.250901,0.000504518
41,0.500921,0.250932,0.000493038
42,0.500949,0.250959,0.000481938
43,0.500905,0.250916,0.000472585
44,0.500779,0.25079,0.000478617
45,0.500906,0.250918,0.000484797
46,0.50087,0.250881,0.000475551
47,0.500767,0.250778,0.000476572
48,0.50061,0.250622,0.000492123
49,0.50058,0.250592,0.000482916
50,0.5006,0.250611,0.000473556
51,0.500519,0.250531,0.000471058
52,0.50053,0.250541,0.000462024
53,0.500524,0.250535,0.000453257
54,0.500427,0.250439,0.00045513
55,0.500456,0.250467,0.000447673
56,0.500468,0.250479,0.000439787
57,0.500461,0.250472,0.000432058
58,0.500454,0.250465,0.000424603
59,0.500478,0.250488,0.000418006
60,0.500454,0.250464,0.000411678
61,0.50039,0.2504,0.000409921
62,0.500353,0.250364,0.000404884
63,0.500303,0.250313,0.000401587
64,0.500273,0.250283,0.000396368
65,0.500216,0.250226,0.000394439
66,0.500221,0.250231,0.000388448
67,0.500193,0.250203,0.000383589
68,0.500247,0.250257,0.000381699
69,0.500218,0.250228,0.000377239
70,0.500281,0.250291,0.000377158
71,0.500292,0.250302,0.00037197
72,0.500306,0.250315,0.000367012
73,0.50032,0.25033,0.000362247
74,0.500335,0.250344,0.000357615
75,0.500334,0.250344,0.000352815
76,0.500324,0.250333,0.00034831
77,0.500308,0.250317,0.000344123
78,0.500291,0.2503,0.000340116
79,0.500246,0.250255,0.000338757
80,0.500256,0.250265,0.000334667
81,0.500268,0.250277,0.000330706
82,0.50023,0.250239,0.00032883
83,0.500198,0.250207,0.000326396
84,0.500161,0.250169,0.00032467
85,0.500109,0.250118,0.000324987
86,0.500071,0.25008,0.000323451
87,0.500102,0.250111,0.000321286
88,0.500101,0.25011,0.000317617
89,0.5001,0.250109,0.000314029
90,0.500059,0.250068,0.000313251
91,0.500129,0.250138,0.000317696
92,0.500126,0.250135,0.000314238
93,0.500098,0.250107,0.000312139
94,0.500107,0.250116,0.000308924
95,0.500127,0.250136,0.000306336
96,0.500184,0.250193,0.000308353
97,0.500144,0.250153,0.00030773
98,0.500144,0.250153,0.000304574
99,0.500119,0.250128,0.000302515
100,0.500114,0.250123,0.000299515
