BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         153    -5.51778    -5.75079   0.0142513
         154    -5.41567    -5.74862    0.014324
         155    -5.50094    -5.74702   0.0143204
         156    -5.48912    -5.74537   0.0143237
         157     -5.6474    -5.74474   0.0142461
         158    -5.64333     -5.7441   0.0141704
         159    -5.68613    -5.74374   0.0140859
         160    -5.66484    -5.74324   0.0140065
         161    -5.61001    -5.74242   0.0139439
         162    -5.62648     -5.7417   0.0138762
         163    -5.60081    -5.74084    0.013818
         164    -5.55955    -5.73973   0.0137779
         165    -5.61351    -5.73896   0.0137156
         166    -5.62437    -5.73827   0.0136503
         167    -5.69552    -5.73802    0.013571
         168    -5.67985    -5.73767   0.0134946
         169    -5.56384    -5.73664   0.0134539
         170    -5.62432    -5.73598    0.013391
         171    -5.55218    -5.73491   0.0133558
         172    -5.61109    -5.73419   0.0132975
         173    -5.59149    -5.73336   0.0132462
         174    -5.57283    -5.73244   0.0132021
         175    -5.46408    -5.73091   0.0132155
         176    -5.49794    -5.72958   0.0132065
         177    -5.49949    -5.72828   0.0131957
         178    -5.61891    -5.72767   0.0131359
         179    -5.49752    -5.72638   0.0131253
         180    -5.45579    -5.72488   0.0131382
         181    -5.54759     -5.7239    0.013102
         182    -5.54995    -5.72294   0.0130649
         183    -5.52733    -5.72188   0.0130371
         184    -5.58922    -5.72115   0.0129862
         185    -5.71599    -5.72113    0.012916
         186    -5.60625    -5.72051   0.0128613
         187    -5.58117    -5.71976   0.0128141
         188    -5.57538      -5.719    0.012769
         189    -5.63847    -5.71857   0.0127085
         190    -5.56294    -5.71775    0.012668
         191    -5.55669    -5.71691   0.0126297
         192    -5.58095     -5.7162   0.0125838
         193     -5.5551    -5.71536   0.0125462
         194    -5.54971    -5.71451   0.0125106
         195    -5.46262    -5.71322   0.0125129
         196    -5.39148    -5.71158   0.0125563
         197    -5.44101     -5.7102   0.0125674
         198    -5.40909    -5.70868   0.0125957
         199     -5.3729      -5.707   0.0126449
         200     -5.3076      -5.705   0.0127384
         201    -5.45415    -5.70375    0.012736
         202    -5.41708    -5.70233   0.0127518
         203    -5.42763    -5.70098   0.0127605
         204    -5.37213    -5.69937   0.0127994
         205    -5.53798    -5.69858   0.0127612
         206     -5.3992    -5.69713   0.0127817
         207    -5.39184    -5.69565   0.0128047
         208    -5.35285      -5.694   0.0128488
         209     -5.2181    -5.69173   0.0129875
         210    -5.27357    -5.68974   0.0130774
         211      -5.307    -5.68792   0.0131407
         212    -5.37307    -5.68644   0.0131623
         213    -5.48048    -5.68547    0.013136
         214    -5.50016     -5.6846   0.0131031
         215    -5.52064    -5.68384   0.0130644
         216    -5.62264    -5.68356    0.013007
         217     -5.5411     -5.6829   0.0129636
         218    -5.49984    -5.68206   0.0129313
         219    -5.45682    -5.68103   0.0129131
         220     -5.5563    -5.68047   0.0128668
         221    -5.46722     -5.6795   0.0128447
         222    -5.42145    -5.67834   0.0128393
         223    -5.33111    -5.67678   0.0128758
         224    -5.36017    -5.67537   0.0128957
         225    -5.27518    -5.67359   0.0129605
         226    -5.28091    -5.67185   0.0130191
         227    -5.41276    -5.67071   0.0130116
         228    -5.41257    -5.66958   0.0130037
         229    -5.29521    -5.66794   0.0130493
         230    -5.37838    -5.66668   0.0130532
         231    -5.38078    -5.66545   0.0130552
         232    -5.40384    -5.66432   0.0130475
         233    -5.52833    -5.66374   0.0130046
         234    -5.57921    -5.66337    0.012954
         235    -5.63953    -5.66327   0.0128993
         236    -5.56061    -5.66284    0.012852
         237    -5.49855    -5.66214   0.0128164
         238    -5.52077    -5.66155   0.0127763
         239     -5.4886    -5.66083   0.0127434
         240    -5.41996    -5.65982   0.0127297
         241    -5.44275    -5.65892   0.0127087
         242    -5.44563    -5.65804   0.0126867
         243    -5.42719    -5.65709     0.01267
         244    -5.47127    -5.65633    0.012641
         245    -5.43963    -5.65545   0.0126203
         246    -5.38158    -5.65433    0.012618
         247    -5.40099    -5.65331   0.0126085
         248    -5.46841    -5.65256   0.0125797
         249    -5.39063    -5.65151   0.0125731
         250    -5.37632    -5.65041   0.0125709
         251     -5.3144    -5.64907   0.0125919
         252    -5.35233    -5.64789   0.0125969
         253    -5.34668     -5.6467   0.0126032
         254    -5.45235    -5.64594   0.0125768
         255    -5.35446    -5.64479   0.0125793
         256    -5.29404    -5.64342   0.0126046
         257    -5.30812    -5.64212   0.0126229
         258    -5.29423    -5.64077   0.0126458
         259    -5.30677    -5.63948   0.0126625
         260    -5.45103    -5.63876   0.0126345
         261    -5.41251    -5.63789   0.0126158
         262    -5.45993    -5.63721    0.012586
         263    -5.53145    -5.63681   0.0125445
         264    -5.42845    -5.63602   0.0125218
         265     -5.5019    -5.63551   0.0124848
         266    -5.46951    -5.63489   0.0124534
         267    -5.46402    -5.63425   0.0124232
         268    -5.53588    -5.63388   0.0123823
         269    -5.55099    -5.63357   0.0123401
         270    -5.50401    -5.63309   0.0123037
         271    -5.46171    -5.63246   0.0122746
         272    -5.52827    -5.63208   0.0122354
         273    -5.49206    -5.63156   0.0122013
         274    -5.44458    -5.63088   0.0121759
         275    -5.51204    -5.63045   0.0121393
         276     -5.5572    -5.63018   0.0120982
         277    -5.45792    -5.62956   0.0120705
         278    -5.49227    -5.62907   0.0120372
         279    -5.55521     -5.6288   0.0119969
         280    -5.53801    -5.62848   0.0119585
         281    -5.48109    -5.62796   0.0119274
         282    -5.45717    -5.62735   0.0119005
         283    -5.63905    -5.62739   0.0118585
         284    -5.53932    -5.62708   0.0118208
         285     -5.4853    -5.62658   0.0117898
         286    -5.47061    -5.62604   0.0117612
         287    -5.50304    -5.62561    0.011728
         288    -5.57144    -5.62542   0.0116888
         289     -5.6313    -5.62544   0.0116483
