N  Half_pop_ave        L
269   8.87567   8.09998
270   8.78017   8.09998
271   9.22158   8.09998
272   8.949   8.09998
273   9.12791   8.09998
274   8.76361   7.77977
275   8.81266   7.77977
276   8.56806   7.77977
277   8.61188   7.77977
278   8.64103   7.77977
279   8.68372   7.77977
280   8.40427   7.77977
281   8.52386   7.77977
282   8.47009   7.77977
283   8.56798   7.77977
284   8.76224   7.76688
285   8.87064   7.76688
286   8.63566   7.76688
287   8.33639   7.76688
288   8.39766   7.76688
289   8.52671   7.76688
290   8.7802   7.76688
291   8.59106   7.7452
292   8.59439   7.7452
293   8.61255   7.7452
294   8.53604   7.7452
295   7.95843   7.7452
296   7.82805   7.7452
297   7.85004   7.7452
298   7.97766   7.7452
299   8.5647   7.7452
300   8.5647   7.7452
301   8.61195   7.7452
302   8.42852   7.7452
303   8.42852   7.7452
304   8.74886   7.7452
305   8.42287   7.7452
306   8.42287   7.7452
307   8.48473   7.7452
308   8.25003   7.7452
309   8.28781   7.7452
310   8.52728   7.7452
311   8.56219   7.7452
312   8.22955   7.7452
313   8.35984   7.7452
314   8.36392   7.7452
315   8.4199   7.7452
316   8.48427   7.7452
317   8.79269   7.7452
318   8.25299   7.7452
319   8.29725   7.7452
320   8.51095   7.7452
321   8.29335   7.7452
322   8.21488   7.7452
323   8.30354   7.7452
324   8.34709   7.7452
325   8.18196   7.7452
326   8.0922   7.7452
327   8.0922   7.7452
328   8.09636   7.7452
329   8.11737   7.7452
330   7.85912   7.7452
331   7.87817   7.7452
332   8.13789   7.7452
333   8.15225   7.7452
334   7.92132   7.7452
335   8.06735   7.7452
336   8.10345   7.7452
337   8.27809   7.7452
338   8.09259   7.7452
339   8.36159   7.7452
340   8.36159   7.7452
341   8.48066   7.74519
342   8.2341   7.73795
343   8.75266   7.73795
344   8.36412   7.73795
345   8.42416   7.73795
346   8.50541   7.73795
347   8.31664   7.73795
348   8.31555   7.66159
349   8.37542   7.66159
350   8.57929   7.66159
351   8.63923   7.66159
352   8.63923   7.66159
353   8.73998   7.66159
354   8.78305   7.66159
355   8.5105   7.66159
356   8.5105   7.66159
357   8.72516   7.66159
358   8.4495   7.63489
359   8.50232   7.63489
360   8.52301   7.63489
361   8.4699   7.62754
362   8.15131   7.62754
363   8.45599   7.62754
364   8.47977   7.62754
365   8.66856   7.62754
366   8.76455   7.62754
367   8.77685   7.62754
368   8.50619   7.62754
369   8.69709   7.62754
370   8.54785   7.62754
371   8.5845   7.62754
372   8.43175   7.62754
373   8.07876   7.62754
374   8.12022   7.62754
375   8.12022   7.62754
376   8.12022   7.62754
377   8.37359   7.62754
378   8.42224   7.62754
379   8.70655   7.62754
380   8.75779   7.62754
381   8.4456   7.62754
382   8.14431   7.56245
383   7.98198   7.56245
384   7.90114   7.56245
385   7.92377   7.56245
386   7.8499   7.56245
387   7.90907   7.56245
388   7.82087   7.56245
389   7.96855   7.56245
390   7.65372   7.56245
391   7.99795   7.56245
392   8.10405   7.46915
393   8.17122   7.46915
394   8.52637   7.46915
395   8.43554   7.46915
396   8.43554   7.46915
397   8.43554   7.46915
398   8.10187   7.46915
399   7.70599   7.46915
400   7.77702   7.46915
401   7.77702   7.46915
402   8.19143   7.46915
403   8.19559   7.46915
404   8.16466   7.46915
405   8.28255   7.46915
406   8.33399   7.46915
407   8.62624   7.46915
408   8.38963   7.46915
409   8.4136   7.46915
410   8.13675   7.46915
411   8.13675   7.46915
412   8.50629   7.46915
413   8.36794   7.46157
