N  Half_pop_ave        L
318 140.632 134.653
319 139.859 134.653
320 139.931 134.653
321 139.395 133.983
322 139.344 133.348
323 139.053 133.348
324 137.379 132.457
325 137.405 132.457
326 138.04 132.457
327 138.044 132.457
328 137.972 132.457
329 138.005 132.457
330 137.05 132.457
331 137.099 132.457
332 136.74 131.643
333 136.699 131.643
334 134.066 131.006
335 134.151 131.006
336 133.526 130.693
337 133.616 130.693
338 133.847 130.693
339 133.534 130.693
340 133.336 130.693
341 133.478 130.471
342 134.217 130.471
343 132.612 129.25
344 133.488 129.25
345 133.488 129.25
346 131.992 129.064
347 132.069 129.064
348 132.332 129.064
349 131.641 128.823
350 131.644 128.638
351 131.109 128.638
352 131.402 128.488
353 131.55 128.488
354 131.586 128.488
355 131.855 128.488
356 131.978 128.488
357 132.128 128.488
358 132.319 128.488
359 132.67 128.488
360 132.827 128.488
361 133.329 128.061
362 132.978 128.061
363 133.387 128.003
364 131.881 127.577
365 131.881 127.577
366 132.168 127.577
367 132.329 127.577
368 132.352 127.577
369 132.106 127.577
370 132.267 127.577
371 132.126 127.577
372 130.606 127.409
373 129.902 127.409
374 129.715 127.094
375 129.482 127.094
376 129.912 127.094
377 132.653 127.094
378 132.866 127.094
379 134.092 126.862
380 134.339 126.862
381 133.152 126.547
382 133.464 126.547
383 132.771 126.547
384 132.817 126.547
385 132.113 126.547
386 132.113 126.547
387 132.228 126.547
388 131.978 126.547
389 130.859 126.547
390 129.286 126.547
391 129.575 126.547
392 129.425 126.547
393 128.588 126.547
394 128.046 126.547
395 129.104 126.372
396 129.41 126.372
397 128.567 125.545
398 127.931 125.545
399 128.605 125.545
400 128.863 125.545
401 128.992 125.545
402 128.652 125.545
403 127.473 125.545
404 127.644 125.545
405 128.681 124.914
406 128.796 124.914
407 129.566 124.914
408 130.856 124.914
409 130.899 124.914
410 130.25 124.354
411 129.635 124.354
412 129.714 124.354
413 130.355 124.354
414 130.578 124.354
415 128.887 123.751
416 129.099 123.751
417 129.889 123.751
418 127.802 123.751
419 129.216 123.751
420 129.278 123.751
421 127.746 123.655
422 129.126 123.655
423 128.751 123.655
424 128.763 123.655
425 128.763 123.655
426 128.211 122.128
427 126.738 122.128
428 126.14 122.128
429 125.051 122.128
430 125.114 122.128
431 123.798 121.843
432 123.704 121.258
433 125.904 121.258
434 126.992 121.258
435 127.056 121.258
436 126.537 121.143
437 124.864 120.558
438 123.337 120.528
439 123.128 120.528
440 123.271 120.528
441 122.217 120.528
442 122.425 120.528
443 122.641 120.528
444 122.458 120.528
445 123.481 120.528
446 124.137 120.528
447 123.562 120.528
448 123.647 120.528
449 123.971 120.528
450 123.971 120.528
451 122.645 120.528
452 122.769 120.528
453 123.699 120.528
454 124.333 120.528
455 124.079 120.528
456 124.352 120.528
457 124.604 120.528
458 123.005 120.528
459 123.005 120.528
460 122.174 120.528
461 121.889 120.528
462 124.106 120.528
463 124.128 120.025
464 124.671 120.025
465 124.809 120.025
466 125.063 120.025
467 125.254 120.025
468 124.885 119.655
469 123.557 119.655
470 124.464 119.655
471 125.51 119.499
472 124.457 119.499
473 123.732 117.978
474 123.026 117.978
475 121.59 117.978
476 122.629 117.978
477 122.896 117.978
478 122.951 117.629
479 123.306 117.629
480 123.543 117.629
481 123.704 117.629
482 123.691 117.452
483 124.151 116.606
484 123.912 111.378
485 124.023 111.378
486 123.533 111.378
487 122.204 111.378
488 121.126 111.378
489 121.33 111.378
490 121.652 111.016
491 120.578 111.016
492 118.381 111.016
493 116.5 111.016
494 115.606 111.016
495 115.768 111.016
496 114.39 111.016
497 114.749 111.016
498 113.386 111.016
499 115.052 111.016
500 116.397 111.016
501 116.56 111.016
502 116.642 111.016
503 117.16 110.412
504 117.354 110.412
505 115.968 110.017
506 113.623 109.895
507 113.698 109.895
508 113.698 109.895
509 114.75 109.293
510 112.399 108.899
511 112.553 108.899
512 111.251 108.777
513 112.021 108.762
514 113.125 108.762
