BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147     1.13087     1.46746   0.0321752
         148     1.13154     1.46519   0.0320377
         149     1.13219     1.46295   0.0319006
         150     1.13279     1.46075   0.0317637
         151     1.13337     1.45858   0.0316273
         152     1.13391     1.45645   0.0314913
         153     1.13442     1.45434   0.0313557
         154     1.13491     1.45227   0.0312206
         155     1.13538     1.45022   0.0310861
         156     1.13584     1.44821    0.030952
         157     1.13629     1.44622   0.0308186
         158     1.13675     1.44426   0.0306857
         159     1.13723     1.44233   0.0305534
         160     1.13772     1.44043   0.0304217
         161     1.13825     1.43855   0.0302906
         162     1.13882      1.4367   0.0301601
         163     1.13944     1.43488   0.0300301
         164     1.14011     1.43308   0.0299008
         165     1.14083     1.43131    0.029772
         166     1.14161     1.42956   0.0296437
         167     1.14244     1.42784    0.029516
         168     1.14332     1.42615   0.0293889
         169     1.14423     1.42448   0.0292623
         170     1.14518     1.42284   0.0291362
         171     1.14613     1.42122   0.0290108
         172     1.14709     1.41963   0.0288858
         173     1.14803     1.41806   0.0287615
         174     1.14893     1.41651   0.0286378
         175     1.14978     1.41499   0.0285146
         176     1.15056     1.41348   0.0283922
         177     1.15124       1.412   0.0282704
         178     1.15182     1.41054   0.0281493
         179     1.15227      1.4091    0.028029
         180     1.15258     1.40767   0.0279095
         181     1.15276     1.40626   0.0277908
         182     1.15277     1.40487    0.027673
         183     1.15263     1.40349   0.0275561
         184     1.15233     1.40213   0.0274401
         185     1.15187     1.40078   0.0273251
         186     1.15125     1.39943   0.0272111
         187     1.15049      1.3981   0.0270982
         188     1.14959     1.39678   0.0269863
         189     1.14856     1.39547   0.0268754
         190     1.14742     1.39416   0.0267657
         191     1.14617     1.39286    0.026657
         192     1.14484     1.39157   0.0265494
         193     1.14345     1.39029    0.026443
         194       1.142     1.38901   0.0263376
         195     1.14052     1.38773   0.0262334
         196     1.13901     1.38646   0.0261302
         197     1.13751      1.3852   0.0260281
         198     1.13602     1.38394   0.0259271
         199     1.13456     1.38269    0.025827
         200     1.13313     1.38144    0.025728
         201     1.13176      1.3802     0.02563
         202     1.13046     1.37896   0.0255329
         203     1.12923     1.37773   0.0254368
         204     1.12808     1.37651   0.0253415
         205     1.12703     1.37529   0.0252471
         206     1.12609     1.37408   0.0251535
         207     1.12525     1.37288   0.0250607
         208     1.12453     1.37168   0.0249686
         209     1.12393      1.3705   0.0248773
         210     1.12346     1.36932   0.0247866
         211     1.12313     1.36816   0.0246966
         212     1.12293       1.367   0.0246072
         213     1.12289     1.36585   0.0245183
         214       1.123     1.36472     0.02443
         215     1.12328      1.3636   0.0243422
         216     1.12373     1.36248   0.0242548
         217     1.12436     1.36139   0.0241678
         218     1.12517      1.3603   0.0240812
         219     1.12619     1.35923    0.023995
         220     1.12741     1.35818   0.0239091
         221     1.12885     1.35714   0.0238234
         222      1.1305     1.35612   0.0237379
         223     1.13237     1.35512   0.0236527
         224     1.13446     1.35413   0.0235676
         225     1.13677     1.35317   0.0234826
         226      1.1393     1.35222   0.0233978
         227     1.14203      1.3513    0.023313
         228     1.14496     1.35039   0.0232283
         229     1.14808     1.34951   0.0231437
         230     1.15135     1.34865   0.0230591
         231     1.15478     1.34781   0.0229746
         232     1.15833     1.34699     0.02289
         233     1.16197      1.3462   0.0228056
         234     1.16569     1.34542   0.0227211
         235     1.16946     1.34468   0.0226368
         236     1.17324     1.34395   0.0225525
         237     1.17701     1.34324   0.0224684
         238     1.18075     1.34256   0.0223843
         239     1.18441      1.3419   0.0223005
         240       1.188     1.34126   0.0222168
         241     1.19147     1.34064   0.0221333
         242     1.19482     1.34003     0.02205
         243     1.19802     1.33945    0.021967
         244     1.20106     1.33888   0.0218843
         245     1.20392     1.33833   0.0218019
         246     1.20661      1.3378   0.0217199
         247     1.20911     1.33728   0.0216382
         248     1.21142     1.33677   0.0215569
         249     1.21354     1.33627    0.021476
         250     1.21546     1.33579   0.0213955
         251      1.2172     1.33532   0.0213155
         252     1.21875     1.33486   0.0212359
         253     1.22012      1.3344   0.0211568
         254     1.22133     1.33396   0.0210782
         255     1.22237     1.33352   0.0210001
         256     1.22326     1.33309   0.0209225
         257       1.224     1.33266   0.0208454
         258      1.2246     1.33225   0.0207688
         259     1.22507     1.33183   0.0206927
         260     1.22543     1.33142   0.0206172
         261     1.22567     1.33102   0.0205422
         262     1.22581     1.33062   0.0204677
         263     1.22587     1.33022   0.0203937
         264     1.22583     1.32982   0.0203203
         265     1.22573     1.32943   0.0202474
         266     1.22555     1.32904   0.0201751
         267     1.22531     1.32865   0.0201033
         268     1.22501     1.32826    0.020032
         269     1.22467     1.32788   0.0199612
         270     1.22428     1.32749    0.019891
         271     1.22384     1.32711   0.0198212
         272     1.22337     1.32673    0.019752
         273     1.22287     1.32635   0.0196833
         274     1.22233     1.32597   0.0196152
         275     1.22176     1.32559   0.0195475
         276     1.22116     1.32521   0.0194803
         277     1.22053     1.32483   0.0194137
         278     1.21987     1.32446   0.0193475
         279     1.21918     1.32408   0.0192818
         280     1.21845      1.3237   0.0192167
         281      1.2177     1.32333    0.019152
         282     1.21691     1.32295   0.0190878
         283     1.21608     1.32257   0.0190241
         284     1.21521     1.32219   0.0189608
         285     1.21429     1.32181   0.0188981
         286     1.21332     1.32143   0.0188358
         287     1.21231     1.32105    0.018774
         288     1.21123     1.32067   0.0187127
         289      1.2101     1.32029   0.0186519
         290      1.2089     1.31991   0.0185915
         291     1.20763     1.31952   0.0185316
         292     1.20629     1.31913   0.0184722
         293     1.20488     1.31874   0.0184133
         294     1.20339     1.31835   0.0183548
         295     1.20182     1.31796   0.0182969
         296     1.20018     1.31756   0.0182394
         297     1.19845     1.31716   0.0181824
         298     1.19664     1.31675   0.0181259
         299     1.19475     1.31634   0.0180698
         300     1.19279     1.31593   0.0180143
         301     1.19076     1.31552   0.0179592
