BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.46799    -5.93122   0.0456858
         153    -5.46888    -5.92819   0.0454871
         154    -5.46988    -5.92522   0.0452889
         155    -5.47054    -5.92229   0.0450917
         156    -5.47086    -5.91939   0.0448954
         157    -5.47148    -5.91654      0.0447
         158    -5.47209    -5.91373   0.0445055
         159     -5.4724    -5.91095    0.044312
         160    -5.47319    -5.90821   0.0441195
         161    -5.47385    -5.90552   0.0439278
         162    -5.47486    -5.90286    0.043737
         163    -5.47653    -5.90024   0.0435469
         164    -5.47736    -5.89766   0.0433576
         165    -5.47795    -5.89512   0.0431694
         166    -5.47922    -5.89261    0.042982
         167    -5.48087    -5.89015   0.0427952
         168    -5.48213    -5.88772   0.0426094
         169    -5.48392    -5.88533   0.0424242
         170    -5.48515    -5.88298   0.0422399
         171    -5.48581    -5.88065   0.0420567
         172    -5.48726    -5.87837   0.0418743
         173     -5.4884    -5.87611   0.0416929
         174    -5.48982    -5.87389   0.0415123
         175    -5.49075     -5.8717   0.0413328
         176     -5.4916    -5.86954   0.0411544
         177    -5.49297    -5.86742   0.0409768
         178    -5.49451    -5.86532   0.0408001
         179    -5.49471    -5.86325   0.0406247
         180    -5.49474     -5.8612   0.0404505
         181    -5.49565    -5.85918   0.0402774
         182    -5.49546    -5.85719   0.0401057
         183    -5.49596    -5.85521   0.0399351
         184    -5.49535    -5.85326   0.0397659
         185    -5.49467    -5.85132   0.0395982
         186    -5.49362    -5.84939   0.0394319
         187    -5.49235    -5.84749   0.0392673
         188    -5.49133    -5.84559   0.0391041
         189    -5.49012    -5.84371   0.0389424
         190    -5.48888    -5.84184   0.0387822
         191    -5.48686    -5.83998   0.0386236
         192    -5.48501    -5.83813   0.0384667
         193    -5.48347     -5.8363   0.0383112
         194    -5.48138    -5.83447   0.0381574
         195    -5.47816    -5.83264   0.0380055
         196    -5.47623    -5.83082    0.037855
         197    -5.47367    -5.82901   0.0377063
         198    -5.47139     -5.8272   0.0375591
         199    -5.46943    -5.82541   0.0374133
         200    -5.46764    -5.82362    0.037269
         201    -5.46545    -5.82183   0.0371262
         202    -5.46362    -5.82006   0.0369847
         203    -5.46203     -5.8183   0.0368445
         204    -5.45993    -5.81654   0.0367058
         205     -5.4584    -5.81479   0.0365683
         206     -5.4567    -5.81306   0.0364321
         207    -5.45528    -5.81133    0.036297
         208    -5.45372    -5.80961   0.0361632
         209    -5.45231     -5.8079   0.0360306
         210    -5.45123     -5.8062    0.035899
         211    -5.45033    -5.80451   0.0357685
         212    -5.44933    -5.80284    0.035639
         213    -5.44927    -5.80118   0.0355103
         214    -5.44913    -5.79953   0.0353824
         215    -5.44936     -5.7979   0.0352553
         216    -5.45028    -5.79629   0.0351288
         217    -5.45023     -5.7947   0.0350031
         218     -5.4512    -5.79312    0.034878
         219    -5.45198    -5.79157   0.0347535
         220    -5.45289    -5.79003   0.0346296
         221    -5.45455    -5.78851   0.0345062
         222    -5.45651    -5.78701   0.0343831
         223    -5.45862    -5.78554   0.0342605
         224    -5.46105    -5.78409   0.0341381
         225    -5.46423    -5.78267    0.034016
         226    -5.46743    -5.78128   0.0338941
         227    -5.47093    -5.77991   0.0337723
         228    -5.47443    -5.77857   0.0336508
         229    -5.47836    -5.77726   0.0335293
         230     -5.4827    -5.77598    0.033408
         231    -5.48699    -5.77473   0.0332868
         232    -5.49149    -5.77351   0.0331657
         233    -5.49723    -5.77232   0.0330446
         234    -5.50282    -5.77117   0.0329234
         235    -5.50823    -5.77005   0.0328023
         236    -5.51387    -5.76896   0.0326813
         237    -5.51924    -5.76791   0.0325604
         238    -5.52476    -5.76689   0.0324396
         239     -5.5298     -5.7659    0.032319
         240    -5.53522    -5.76494   0.0321986
         241    -5.54053      -5.764   0.0320785
         242    -5.54571     -5.7631   0.0319586
         243    -5.55102    -5.76223    0.031839
         244    -5.55584    -5.76138   0.0317198
         245    -5.56029    -5.76056   0.0316009
         246     -5.5645    -5.75977   0.0314825
         247    -5.56908    -5.75899   0.0313645
         248    -5.57263    -5.75824    0.031247
         249    -5.57608    -5.75751   0.0311301
         250    -5.57879     -5.7568   0.0310138
         251    -5.58139     -5.7561   0.0308981
         252    -5.58447    -5.75542    0.030783
         253    -5.58714    -5.75475   0.0306685
         254    -5.58864     -5.7541   0.0305547
         255     -5.5905    -5.75345   0.0304417
         256    -5.59211    -5.75282   0.0303293
         257     -5.5935     -5.7522   0.0302176
         258    -5.59512     -5.7516   0.0301066
         259    -5.59609      -5.751   0.0299963
         260    -5.59687     -5.7504   0.0298868
         261    -5.59762    -5.74982   0.0297781
         262    -5.59791    -5.74924     0.02967
         263    -5.59805    -5.74866   0.0295628
         264     -5.5979    -5.74809   0.0294563
         265    -5.59777    -5.74752   0.0293506
         266    -5.59708    -5.74696   0.0292457
         267    -5.59749     -5.7464   0.0291416
         268    -5.59706    -5.74584   0.0290382
         269    -5.59685    -5.74529   0.0289355
         270    -5.59641    -5.74474   0.0288336
         271     -5.5962    -5.74419   0.0287324
         272    -5.59563    -5.74364   0.0286319
         273    -5.59471     -5.7431   0.0285323
         274    -5.59419    -5.74255   0.0284333
         275    -5.59362    -5.74201   0.0283351
         276    -5.59271    -5.74147   0.0282376
         277     -5.5913    -5.74093   0.0281408
         278    -5.58986    -5.74039   0.0280449
         279    -5.58884    -5.73984   0.0279496
         280    -5.58838     -5.7393    0.027855
         281    -5.58788    -5.73876   0.0277611
         282    -5.58674    -5.73822   0.0276679
         283      -5.586    -5.73769   0.0275753
         284    -5.58476    -5.73715   0.0274835
         285    -5.58316    -5.73661   0.0273924
         286    -5.58196    -5.73607   0.0273019
         287    -5.58025    -5.73552   0.0272122
         288    -5.57862    -5.73498   0.0271232
         289    -5.57752    -5.73443   0.0270348
         290    -5.57589    -5.73389   0.0269471
         291    -5.57433    -5.73334   0.0268601
         292    -5.57282    -5.73279   0.0267737
         293    -5.57092    -5.73224    0.026688
         294    -5.56922    -5.73168    0.026603
         295    -5.56741    -5.73112   0.0265187
         296    -5.56504    -5.73056    0.026435
         297    -5.56271       -5.73    0.026352
         298    -5.56071    -5.72943   0.0262697
         299     -5.5583    -5.72886   0.0261881
         300    -5.55517    -5.72828   0.0261072
         301    -5.55237    -5.72769    0.026027
         302    -5.54901     -5.7271   0.0259476
         303    -5.54614    -5.72651   0.0258688
         304    -5.54317     -5.7259   0.0257907
