BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         168     1.72485     2.14994    0.044254
         169     1.72626     2.14744   0.0440631
         170      1.7277     2.14497   0.0438731
         171     1.72916     2.14254   0.0436838
         172     1.73061     2.14014   0.0434954
         173     1.73203     2.13778    0.043308
         174     1.73338     2.13546   0.0431214
         175     1.73464     2.13317   0.0429358
         176     1.73579     2.13091   0.0427511
         177     1.73678     2.12868   0.0425675
         178     1.73761     2.12649   0.0423851
         179     1.73825     2.12432   0.0422037
         180     1.73867     2.12218   0.0420236
         181     1.73887     2.12006   0.0418448
         182     1.73883     2.11796   0.0416672
         183     1.73855     2.11589   0.0414911
         184     1.73803     2.11384   0.0413164
         185     1.73727      2.1118   0.0411432
         186     1.73628     2.10978   0.0409715
         187     1.73506     2.10778   0.0408014
         188     1.73364     2.10579   0.0406328
         189     1.73204     2.10381   0.0404659
         190     1.73027     2.10184   0.0403007
         191     1.72835     2.09989   0.0401371
         192      1.7263     2.09794   0.0399752
         193     1.72417     2.09601   0.0398149
         194     1.72196     2.09408   0.0396564
         195     1.71971     2.09216   0.0394994
         196     1.71744     2.09025   0.0393442
         197     1.71517     2.08834   0.0391905
         198     1.71293     2.08645   0.0390384
         199     1.71073     2.08456   0.0388878
         200      1.7086     2.08268   0.0387388
         201     1.70656     2.08081   0.0385913
         202     1.70462     2.07895   0.0384451
         203      1.7028     2.07709   0.0383004
         204     1.70112     2.07525   0.0381569
         205     1.69958     2.07342   0.0380148
         206      1.6982      2.0716   0.0378738
         207     1.69699     2.06979   0.0377341
         208     1.69595     2.06799   0.0375955
         209      1.6951      2.0662   0.0374579
         210     1.69445     2.06443   0.0373213
         211     1.69401     2.06268   0.0371857
         212     1.69378     2.06094    0.037051
         213     1.69378     2.05921   0.0369171
         214     1.69402     2.05751    0.036784
         215     1.69451     2.05582   0.0366517
         216     1.69526     2.05415     0.03652
         217     1.69629      2.0525   0.0363889
         218      1.6976     2.05087   0.0362584
         219     1.69922     2.04927   0.0361284
         220     1.70115     2.04769   0.0359988
         221      1.7034     2.04613   0.0358696
         222     1.70599      2.0446   0.0357407
         223      1.7089     2.04309   0.0356121
         224     1.71215     2.04161   0.0354838
         225     1.71573     2.04016   0.0353556
         226     1.71963     2.03875   0.0352276
         227     1.72385     2.03736   0.0350997
         228     1.72835       2.036   0.0349719
         229     1.73312     2.03468   0.0348442
         230     1.73814     2.03339   0.0347166
         231     1.74336     2.03214    0.034589
         232     1.74877     2.03091   0.0344614
         233     1.75431     2.02973    0.034334
         234     1.75996     2.02857   0.0342066
         235     1.76565     2.02746   0.0340793
         236     1.77136     2.02637   0.0339522
         237     1.77704     2.02532   0.0338252
         238     1.78265      2.0243   0.0336985
         239     1.78816     2.02331    0.033572
         240     1.79352     2.02235   0.0334457
         241     1.79871     2.02143   0.0333198
         242      1.8037     2.02053   0.0331943
         243     1.80846     2.01965   0.0330692
         244     1.81297     2.01881   0.0329445
         245     1.81721     2.01798   0.0328203
         246     1.82118     2.01718   0.0326966
         247     1.82487      2.0164   0.0325735
         248     1.82827     2.01565    0.032451
         249     1.83137     2.01491   0.0323291
         250     1.83419     2.01418   0.0322079
         251     1.83672     2.01348   0.0320873
         252     1.83898     2.01278   0.0319675
         253     1.84098      2.0121   0.0318483
         254     1.84272     2.01144   0.0317299
         255     1.84422     2.01078   0.0316122
         256     1.84549     2.01014   0.0314954
         257     1.84654      2.0095   0.0313792
         258     1.84738     2.00887   0.0312639
         259     1.84804     2.00825   0.0311494
         260     1.84852     2.00764   0.0310356
         261     1.84884     2.00703   0.0309227
         262     1.84902     2.00642   0.0308105
         263     1.84905     2.00583   0.0306992
         264     1.84897     2.00523   0.0305886
         265     1.84877     2.00464   0.0304789
         266     1.84847     2.00405     0.03037
         267     1.84808     2.00347   0.0302619
         268     1.84761     2.00289   0.0301545
         269     1.84706     2.00231    0.030048
         270     1.84645     2.00173   0.0299422
         271     1.84577     2.00116   0.0298373
         272     1.84504     2.00058   0.0297331
         273     1.84425     2.00001   0.0296297
         274     1.84342     1.99944   0.0295271
         275     1.84254     1.99887   0.0294252
         276     1.84161      1.9983   0.0293241
         277     1.84064     1.99773   0.0292238
         278     1.83962     1.99716   0.0291242
         279     1.83855     1.99659   0.0290254
         280     1.83743     1.99602   0.0289273
         281     1.83626     1.99545   0.0288299
         282     1.83504     1.99489   0.0287333
         283     1.83375     1.99432   0.0286374
         284      1.8324     1.99375   0.0285422
         285     1.83098     1.99318   0.0284478
         286     1.82949      1.9926   0.0283541
         287     1.82791     1.99203   0.0282611
         288     1.82625     1.99145   0.0281688
         289     1.82449     1.99088   0.0280773
         290     1.82263      1.9903   0.0279865
         291     1.82067     1.98971   0.0278964
         292      1.8186     1.98913    0.027807
         293     1.81641     1.98854   0.0277183
         294     1.81411     1.98794   0.0276304
         295     1.81169     1.98735   0.0275432
         296     1.80915     1.98674   0.0274567
         297     1.80649     1.98614    0.027371
         298     1.80371     1.98553    0.027286
         299     1.80081     1.98491   0.0272017
         300     1.79781     1.98428   0.0271182
         301      1.7947     1.98365   0.0270354
         302     1.79149     1.98302   0.0269534
         303     1.78819     1.98237   0.0268721
         304      1.7848     1.98172   0.0267915
         305     1.78135     1.98107   0.0267118
         306     1.77783      1.9804   0.0266327
         307     1.77426     1.97973   0.0265544
         308     1.77065     1.97905   0.0264769
         309     1.76701     1.97837   0.0264001
         310     1.76335     1.97767    0.026324
         311     1.75968     1.97697   0.0262487
         312       1.756     1.97626   0.0261742
         313     1.75231     1.97555   0.0261003
         314     1.74864     1.97483   0.0260272
         315     1.74496      1.9741   0.0259548
         316      1.7413     1.97336   0.0258831
         317     1.73764     1.97262   0.0258121
         318     1.73399     1.97187   0.0257419
         319     1.73034     1.97111   0.0256723
         320     1.72669     1.97034   0.0256034
         321     1.72303     1.96957   0.0255353
         322     1.71937      1.9688   0.0254678
         323     1.71569     1.96801    0.025401
         324       1.712     1.96722   0.0253349
         325      1.7083     1.96643   0.0252695
         326     1.70458     1.96562   0.0252047
         327     1.70085     1.96481   0.0251406
         328      1.6971       1.964   0.0250772
         329     1.69334     1.96318   0.0250145
         330     1.68958     1.96235   0.0249524
         331     1.68584     1.96151    0.024891
         332     1.68211     1.96067   0.0248303
         333     1.67842     1.95982   0.0247702
         334     1.67479     1.95897   0.0247107
         335     1.67123     1.95811   0.0246519
         336     1.66776     1.95725   0.0245936
         337     1.66441     1.95638    0.024536
         338     1.66118      1.9555   0.0244789
         339     1.65811     1.95463   0.0244225
         340     1.65521     1.95374   0.0243665
         341     1.65251     1.95286    0.024311
         342     1.65003     1.95198   0.0242561
         343     1.64779     1.95109   0.0242016
         344      1.6458      1.9502   0.0241475
         345     1.64408     1.94931   0.0240938
         346     1.64264     1.94843   0.0240404
         347     1.64148     1.94754   0.0239874
         348     1.64063     1.94666   0.0239347
         349     1.64008     1.94578   0.0238822
         350     1.63984     1.94491     0.02383
         351     1.63991     1.94404   0.0237779
         352     1.64029     1.94318   0.0237261
         353     1.64097     1.94232   0.0236743
         354     1.64195     1.94147   0.0236226
         355     1.64322     1.94063    0.023571
         356     1.64478      1.9398   0.0235194
         357      1.6466     1.93898   0.0234679
         358     1.64868     1.93817   0.0234163
         359     1.65101     1.93737   0.0233648
         360     1.65356     1.93658   0.0233132
         361     1.65632      1.9358   0.0232615
         362     1.65928     1.93504   0.0232098
         363      1.6624     1.93429    0.023158
         364     1.66568     1.93355   0.0231061
         365      1.6691     1.93283   0.0230542
         366     1.67262     1.93212   0.0230022
         367     1.67623     1.93142     0.02295
         368     1.67992     1.93074   0.0228979
         369     1.68366     1.93007   0.0228456
         370     1.68743     1.92941   0.0227933
         371     1.69121     1.92877   0.0227409
         372     1.69498     1.92814   0.0226884
         373     1.69874     1.92752   0.0226359
         374     1.70245     1.92692   0.0225834
         375     1.70612     1.92633   0.0225308
         376     1.70972     1.92576   0.0224783
         377     1.71325     1.92519   0.0224257
         378     1.71669     1.92464   0.0223732
         379     1.72002      1.9241   0.0223207
         380     1.72325     1.92357   0.0222682
         381     1.72636     1.92306   0.0222157
         382     1.72935     1.92255   0.0221634
         383      1.7322     1.92205   0.0221111
         384      1.7349     1.92157   0.0220589
         385     1.73746     1.92109   0.0220068
         386     1.73985     1.92062   0.0219548
         387     1.74207     1.92016   0.0219029
         388     1.74412      1.9197   0.0218511
         389     1.74597     1.91926   0.0217995
         390     1.74763     1.91882   0.0217481
         391     1.74908     1.91838   0.0216968
         392     1.75031     1.91795   0.0216457
         393      1.7513     1.91753   0.0215947
         394     1.75205     1.91711    0.021544
         395     1.75254     1.91669   0.0214935
         396     1.75276     1.91628   0.0214432
         397     1.75271     1.91587   0.0213931
         398     1.75238     1.91546   0.0213433
         399     1.75175     1.91505   0.0212938
         400     1.75084     1.91463   0.0212445
         401     1.74964     1.91422   0.0211955
         402     1.74815     1.91381   0.0211468
         403     1.74639     1.91339   0.0210984
         404     1.74437     1.91298   0.0210503
         405      1.7421     1.91255   0.0210026
         406     1.73962     1.91213   0.0209552
         407     1.73695      1.9117   0.0209081
         408     1.73413     1.91126   0.0208614
         409      1.7312     1.91082    0.020815
         410      1.7282     1.91038    0.020769
         411     1.72517     1.90993   0.0207234
         412     1.72216     1.90947   0.0206781
         413     1.71922     1.90901   0.0206332
         414     1.71638     1.90854   0.0205886
         415     1.71369     1.90808   0.0205443
         416     1.71119      1.9076   0.0205004
         417      1.7089     1.90713   0.0204568
         418     1.70685     1.90665   0.0204134
         419     1.70506     1.90617   0.0203704
         420     1.70352     1.90568   0.0203276
         421     1.70223      1.9052    0.020285
         422     1.70119     1.90472   0.0202427
         423     1.70037     1.90423   0.0202006
         424     1.69974     1.90375   0.0201588
         425     1.69928     1.90327   0.0201171
         426     1.69896     1.90279   0.0200756
         427     1.69873     1.90231   0.0200342
         428     1.69855     1.90184   0.0199931
         429     1.69839     1.90136   0.0199521
         430      1.6982     1.90089   0.0199113
         431     1.69796     1.90042   0.0198707
         432     1.69764     1.89995   0.0198302
         433     1.69721     1.89948   0.0197899
         434     1.69666     1.89901   0.0197499
         435     1.69596     1.89855     0.01971
         436     1.69511     1.89808   0.0196703
         437     1.69411     1.89761   0.0196308
         438     1.69297     1.89715   0.0195915
         439     1.69168     1.89668   0.0195525
         440     1.69026     1.89621   0.0195137
         441     1.68871     1.89574   0.0194751
         442     1.68707     1.89527   0.0194368
         443     1.68533     1.89479   0.0193987
         444     1.68353     1.89432   0.0193608
         445     1.68168     1.89384   0.0193232
         446     1.67979     1.89336   0.0192859
         447      1.6779     1.89288   0.0192487
         448       1.676     1.89239   0.0192118
         449     1.67413     1.89191   0.0191752
         450     1.67228     1.89142   0.0191388
         451     1.67047     1.89093   0.0191026
         452     1.66871     1.89044   0.0190667
         453       1.667     1.88994    0.019031
         454     1.66535     1.88945   0.0189955
         455     1.66375     1.88895   0.0189602
         456     1.66221     1.88846   0.0189252
         457     1.66071     1.88796   0.0188903
         458     1.65927     1.88746   0.0188557
         459     1.65787     1.88696   0.0188212
