Block,Integral,Value2,Error
1,1.06226,1.12841,0
2,0.980392,0.967871,0.0818726
3,1.0326,1.07619,0.0704295
4,0.998894,1.00864,0.0601367
5,1.00267,1.01409,0.0467346
6,1.00866,1.02486,0.0386261
7,1.00589,1.01826,0.0327625
8,1.00585,1.01736,0.0283732
9,0.995994,0.997789,0.0268932
10,0.988977,0.983727,0.0250564
11,0.990506,0.986263,0.0227159
12,0.986138,0.977408,0.0211918
13,0.985987,0.97673,0.0194942
14,0.986175,0.976776,0.0180491
15,0.989088,0.982367,0.0170535
16,0.983378,0.971338,0.0169433
17,0.983918,0.972153,0.0159246
18,0.985737,0.975566,0.0151236
19,0.985782,0.975449,0.0143056
20,0.988592,0.980963,0.0138594
21,0.990628,0.984903,0.0133392
22,0.992136,0.987778,0.0128075
23,0.993606,0.990596,0.012326
24,0.992936,0.989135,0.0118203
25,0.99106,0.985369,0.0114918
26,0.990955,0.98504,0.0110414
27,0.989079,0.981304,0.010789
28,0.988656,0.980365,0.0104052
29,0.98799,0.97896,0.010062
30,0.987856,0.9786,0.00972177
31,0.989081,0.980978,0.00948235
32,0.990118,0.982979,0.00923962
33,0.98775,0.978395,0.00926299
34,0.98994,0.982805,0.00924954
35,0.991172,0.985215,0.00906539
36,0.991558,0.98591,0.00881846
37,0.990083,0.982992,0.00870275
38,0.990577,0.983907,0.00848502
39,0.990878,0.984439,0.00827008
40,0.992105,0.986866,0.0081535
41,0.992278,0.987147,0.00795403
42,0.992282,0.987093,0.00776234
43,0.992522,0.987516,0.00758349
44,0.993491,0.989426,0.00747223
45,0.993865,0.990121,0.00731383
46,0.994179,0.990698,0.00715995
47,0.994736,0.991771,0.00702808
48,0.994885,0.992023,0.00688173
49,0.994263,0.990758,0.00676853
50,0.994708,0.991609,0.00664672
51,0.994475,0.991105,0.00651926
52,0.995301,0.992744,0.00644585
53,0.994671,0.991471,0.00635436
54,0.995537,0.993195,0.00629545
55,0.996206,0.994514,0.00621604
56,0.996387,0.994838,0.00610669
57,0.995295,0.992693,0.00609723
58,0.996398,0.994923,0.00609185
59,0.997141,0.996402,0.00603369
60,0.996606,0.995317,0.00595637
61,0.998228,0.998675,0.00607824
62,0.996842,0.995992,0.00613784
63,0.996764,0.9958,0.00604014
64,0.996815,0.995867,0.00594523
65,0.996217,0.994664,0.00588347
66,0.996227,0.994649,0.00579365
67,0.994381,0.991167,0.00599767
68,0.994588,0.991548,0.00591246
69,0.993951,0.990275,0.00586083
70,0.992195,0.986967,0.00603754
71,0.99197,0.986488,0.00595615
72,0.991883,0.986282,0.00587349
73,0.991575,0.985644,0.00580065
74,0.9931,0.988808,0.0059215
75,0.99325,0.989073,0.00584393
76,0.992574,0.987732,0.00580597
77,0.993754,0.990149,0.00585032
78,0.993042,0.988739,0.00581865
79,0.992269,0.987218,0.00579623
80,0.992013,0.986683,0.00572903
81,0.990844,0.984442,0.00577744
82,0.990379,0.983506,0.00572547
83,0.990755,0.984231,0.00566859
84,0.990917,0.984522,0.00560302
85,0.992088,0.986929,0.00565927
86,0.99209,0.986902,0.00559308
87,0.99242,0.987535,0.00553824
88,0.993416,0.989569,0.00556479
89,0.994062,0.99086,0.00553975
90,0.993776,0.990269,0.00548529
91,0.995212,0.99328,0.00561135
92,0.995992,0.994859,0.00560464
93,0.996467,0.995795,0.00556435
94,0.996517,0.995865,0.00550507
95,0.997253,0.997353,0.00549627
96,0.997581,0.997988,0.0054486
97,0.997496,0.997791,0.00539279
98,0.997946,0.998679,0.00535636
99,0.998376,0.999527,0.00531938
100,0.997939,0.998646,0.00528403
