VELOCITY:     AVE_POFV:        ERROR:
         1.2       6.856     7.58715    0.469965
     1.46667      10.788     8.95088    0.331616
     1.73333      11.872     10.4215    0.364798
           2      11.246     12.0683     0.51142
     2.26667       9.964     10.0805    0.347256
     2.53333       7.455     10.5704    0.471201
         2.8       8.801     9.27508    0.313648
     3.06667       9.589     8.25042    0.298982
     3.33333       6.371     6.23581    0.265509
         3.6       4.057       4.217    0.227025
     3.86667       4.914     3.24281    0.258104
     4.13333       1.745     2.68062    0.171035
         4.4        1.52     1.51131    0.144836
     4.66667       0.754      1.2625    0.173344
     4.93333       0.319    0.463731   0.0922676
         5.2       0.757    0.345654   0.0725794
     5.46667       0.675    0.244577   0.0466664
     5.73333       0.277    0.301808   0.0713458
           6       0.067       0.054   0.0304773
     6.26667           0   0.0168846   0.0162073
     6.53333           0   0.0646538   0.0406452
         6.8           0   0.0526538   0.0358808
     7.06667           0  0.00223077  0.00218745
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.005    0.147111   0.0398832
         0.4       0.384     1.14637    0.135946
    0.666667        3.73     3.90033    0.329387
    0.933333       5.558     4.89011    0.354846
         1.2       6.392     7.54289    0.454638
     1.46667      11.586     9.04848    0.333387
     1.73333       11.05     10.4448    0.352028
           2      13.057     12.1049    0.493788
     2.26667      10.847     10.1089    0.335553
     2.53333      10.431     10.5652    0.453777
         2.8       7.732     9.21793    0.307194
     3.06667       7.188     8.21107    0.290486
     3.33333       6.675     6.25207    0.256173
         3.6       5.589     4.26781    0.224231
     3.86667       1.098     3.16337    0.260482
     4.13333       0.115     2.58559    0.189265
         4.4       2.541     1.54944    0.144405
     4.66667       0.543     1.23585     0.16896
     4.93333       0.391    0.461037   0.0888896
         5.2       1.241    0.378815   0.0770954
     5.46667        1.04    0.274037   0.0534339
     5.73333        0.05    0.292481   0.0693102
           6       0.577   0.0733704   0.0349664
     6.26667       0.015   0.0168148   0.0156071
     6.53333       0.034   0.0635185   0.0391557
         6.8       0.064   0.0530741   0.0345543
     7.06667       0.067  0.00462963  0.00315887
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.078    0.144643   0.0385351
         0.4       0.852     1.13586    0.131497
    0.666667       3.066     3.87054    0.318968
    0.933333       5.511     4.91229    0.342865
         1.2       6.777     7.51554    0.439223
     1.46667      11.139     9.12314    0.329734
     1.73333      14.643     10.5948    0.370011
           2      10.672     12.0537    0.478797
     2.26667       9.778      10.097    0.323777
     2.53333       9.728     10.5353    0.438555
         2.8       9.262      9.2195    0.296227
     3.06667       8.188     8.21025    0.280113
     3.33333       4.932     6.20493    0.251325
         3.6       5.259     4.30321       0.219
     3.86667       1.116     3.09025     0.26124
     4.13333       0.271     2.50293    0.199743
         4.4       3.211     1.60879    0.150949
     4.66667       0.269     1.20132    0.166417
     4.93333       0.248    0.453429   0.0860399
         5.2       0.347    0.377679   0.0743504
     5.46667       0.218    0.272036    0.051563
     5.73333       0.266    0.291536   0.0668413
           6       1.037    0.107786   0.0477388
     6.26667       0.132   0.0209286   0.0155825
     6.53333       0.829   0.0908571   0.0463284
         6.8       0.171   0.0572857   0.0335759
     7.06667           0  0.00446429  0.00305038
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.352    0.151793   0.0378639
         0.4       0.581     1.11672    0.128347
    0.666667       3.741     3.86607       0.308
    0.933333        6.27      4.9591    0.334223
         1.2       6.006     7.46348    0.427151
     1.46667      12.579     9.24231    0.339215
     1.73333       9.926     10.5717     0.35797
           2      12.269     12.0611    0.462345
     2.26667       11.36     10.1406    0.315527
     2.53333       9.885     10.5129    0.424005
         2.8        6.14     9.11331    0.304451
     3.06667       9.357     8.24979    0.273231
     3.33333       6.745     6.22355    0.243348
         3.6       3.278     4.26786    0.214282
     3.86667       0.931     3.01579    0.262629
     4.13333       1.318     2.46207    0.196991
         4.4       3.479     1.67328    0.158924
     4.66667       1.083     1.19724    0.160728
     4.93333       0.385    0.451069   0.0831054
         5.2       0.061    0.366759   0.0725841
     5.46667       0.174    0.268655   0.0498956
     5.73333       0.715    0.306138   0.0661122
           6       0.445    0.119414   0.0474877
     6.26667        0.06   0.0222759   0.0151033
     6.53333       0.589    0.108034   0.0478094
         6.8       0.271   0.0646552    0.033217
     7.06667           0  0.00431034  0.00294907
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.036    0.147933    0.036798
         0.4       0.747      1.1044    0.124659
    0.666667       3.771      3.8629     0.29775
    0.933333       6.199     5.00043    0.325628
         1.2       6.042      7.4161    0.415532
     1.46667       8.191     9.20727    0.329713
     1.73333      11.378     10.5986    0.347045
           2      15.236      12.167    0.458885
     2.26667       8.223     10.0767    0.311417
     2.53333      13.098     10.5991    0.418536
         2.8       5.322     8.98693    0.319457
     3.06667        5.69     8.16447    0.277126
     3.33333       7.096     6.25263    0.236968
         3.6       5.936     4.32347    0.214232
     3.86667       2.573     3.00103    0.254289
     4.13333       3.686     2.50287    0.194603
         4.4       2.733      1.7086    0.157503
     4.66667       1.043      1.1921    0.155453
     4.93333           0    0.436033    0.081684
         5.2       0.797      0.3811   0.0715674
     5.46667       0.024      0.2605   0.0488944
     5.73333       0.179      0.3019   0.0640441
           6           0    0.115433   0.0460713
     6.26667           0   0.0215333   0.0146181
     6.53333           0    0.104433   0.0463512
         6.8           0      0.0625   0.0321796
     7.06667           0  0.00416667  0.00285427
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.538    0.160516   0.0377009
         0.4       1.646     1.12187    0.121856
    0.666667       1.786      3.7959    0.295587
    0.933333       6.567     5.05097    0.319021
         1.2       5.032     7.33919    0.409183
     1.46667       8.618     9.18826    0.319625
     1.73333      10.278     10.5882    0.336004
           2      13.892     12.2226    0.447444
     2.26667      10.755     10.0985    0.302139
     2.53333      10.963     10.6108      0.4052
         2.8       8.042     8.95645    0.310603
     3.06667       8.494      8.1751     0.26839
     3.33333       5.121     6.21613    0.232118
         3.6       6.312     4.38761    0.216713
     3.86667       2.084     2.97145      0.2478
     4.13333        3.54     2.53632     0.19118
         4.4       1.981     1.71739    0.152667
     4.66667       0.661     1.17497    0.151379
     4.93333       1.003    0.454323   0.0810707
         5.2       0.596    0.388032   0.0695937
     5.46667       0.091    0.255032   0.0476219
     5.73333           0    0.292161   0.0627143
           6           0     0.11171   0.0447353
     6.26667           0   0.0208387    0.014163
     6.53333           0    0.101065   0.0449782
         6.8           0   0.0604839   0.0312047
     7.06667           0  0.00403226  0.00276536
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.015    0.155969    0.036796
         0.4       2.003     1.14941    0.121119
    0.666667        2.19     3.74572    0.290578
    0.933333        3.51     5.00281    0.312665
         1.2       4.508     7.25072    0.405849
     1.46667        8.54       9.168    0.310278
     1.73333      13.882     10.6912    0.340905
           2       12.62      12.235    0.433633
     2.26667      12.114     10.1615     0.29919
     2.53333       7.756     10.5216    0.402238
         2.8      11.429     9.03372    0.310358
     3.06667       8.317     8.17953     0.26004
     3.33333       6.142     6.21381    0.224876
         3.6       6.252     4.44588    0.217631
     3.86667        3.94     3.00172    0.241898
     4.13333       1.892     2.51619    0.186263
         4.4       1.105     1.69825    0.149091
     4.66667       0.934     1.16744    0.146836
     4.93333       0.253    0.448031    0.078781
         5.2       0.187     0.38175   0.0677019
     5.46667       0.078      0.2495   0.0464539
     5.73333       0.242    0.290594    0.060774
           6       0.091    0.111062    0.043342
     6.26667           0   0.0201875   0.0137354
     6.53333           0   0.0979062   0.0436834
         6.8           0   0.0585938   0.0302867
     7.06667           0  0.00390625  0.00268181
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0    0.151242   0.0359832
         0.4       1.315     1.15442    0.117552
    0.666667       1.048     3.66397    0.293047
    0.933333       3.943      4.9707    0.304835
         1.2       8.228     7.28033    0.394629
     1.46667      11.241     9.23082    0.307169
     1.73333      10.597     10.6883    0.330587
           2      11.475      12.212    0.421104
     2.26667       8.987     10.1259    0.292233
     2.53333       9.713     10.4971    0.390795
         2.8      11.519     9.10903    0.309956
     3.06667       8.764     8.19724    0.252762
     3.33333       5.469     6.19124    0.219191
         3.6       5.564     4.47976    0.213658
     3.86667       3.363     3.01267    0.234815
     4.13333       2.706     2.52194    0.180707
         4.4       1.326     1.68697    0.144999
     4.66667       1.635     1.18161    0.143068
     4.93333       0.977    0.464061   0.0780074
         5.2        0.13    0.374121   0.0660787
     5.46667           0    0.241939   0.0456573
     5.73333           0    0.281788    0.059567
           6           0    0.107697   0.0421591
     6.26667           0   0.0195758   0.0133328
     6.53333           0   0.0949394   0.0424603
         6.8           0   0.0568182   0.0294209
     7.06667           0  0.00378788  0.00260315
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.003    0.146882    0.035188
         0.4       1.516     1.16506    0.114575
    0.666667       2.072     3.61715    0.288144
    0.933333       4.219     4.94859     0.29667
         1.2       7.158     7.27674    0.383039
     1.46667      10.253     9.26088    0.299602
     1.73333       12.52     10.7422    0.325224
           2       9.769     12.1401    0.414803
     2.26667       9.825     10.1171    0.283772
     2.53333      10.605     10.5003    0.379314
         2.8       9.164     9.11065    0.300844
     3.06667      10.248     8.25756    0.252422
     3.33333       7.063     6.21688    0.214239
         3.6        2.97     4.43535    0.211938
     3.86667       2.671     3.00262    0.228124
     4.13333       1.702     2.49782    0.176994
         4.4       3.037     1.72668     0.14607
     4.66667       1.286     1.18468    0.138893
     4.93333       1.659    0.499206   0.0832546
         5.2        0.26    0.370765   0.0642204
     5.46667           0    0.234824   0.0448656
     5.73333           0      0.2735   0.0583887
           6           0    0.104529   0.0410379
     6.26667           0       0.019   0.0129531
     6.53333           0   0.0921471   0.0413032
         6.8           0   0.0551471    0.028603
     7.06667           0  0.00367647  0.00252897
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.937    0.169457   0.0407862
         0.4        0.98     1.15977    0.111423
    0.666667       2.138     3.57489    0.282994
    0.933333       4.089     4.92403    0.289208
         1.2       5.863     7.23634    0.374219
     1.46667       9.788     9.27594     0.29142
     1.73333      12.227     10.7846    0.318686
           2      11.624     12.1254    0.403214
     2.26667      12.845      10.195    0.286167
     2.53333       7.784     10.4227    0.376332
         2.8       6.465     9.03506    0.301596
     3.06667      11.757     8.35754    0.264271
     3.33333       7.073     6.24134    0.209509
         3.6       4.272     4.43069    0.205934
     3.86667        4.09     3.03369    0.223712
     4.13333       1.049     2.45643    0.176712
         4.4       2.069     1.73646    0.142224
     4.66667        1.66     1.19826    0.135587
     4.93333       0.754    0.506486   0.0811935
         5.2       0.421      0.3722   0.0624016
     5.46667       0.115      0.2314   0.0437141
     5.73333           0    0.265686    0.057241
           6           0    0.101543    0.039974
     6.26667           0   0.0184571   0.0125944
     6.53333           0   0.0895143   0.0402069
         6.8           0   0.0535714   0.0278292
     7.06667           0  0.00357143   0.0024589
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333        0.93    0.190583   0.0447917
         0.4       3.124     1.21433    0.120952
    0.666667       3.047     3.56022    0.275512
    0.933333       3.635     4.88822    0.283383
         1.2       3.337     7.12803    0.379175
     1.46667       6.348     9.19461    0.294456
     1.73333       9.262     10.7423    0.312628
           2      13.556     12.1651    0.393967
     2.26667      14.604     10.3175    0.303295
     2.53333      12.369     10.4767    0.369741
         2.8       9.079     9.03628     0.29322
     3.06667       9.794     8.39744    0.259925
     3.33333       5.373     6.21722    0.205074
         3.6       4.851     4.44236    0.200544
     3.86667       2.316     3.01375    0.218384
     4.13333       2.143     2.44772    0.172017
         4.4       1.581     1.73214    0.138339
     4.66667       0.694     1.18425    0.132542
     4.93333       0.957       0.519   0.0798967
         5.2       0.368    0.372083   0.0606683
     5.46667       0.561    0.240556    0.043448
     5.73333       0.071    0.260278   0.0559058
           6           0   0.0987222    0.038963
     6.26667           0   0.0179444   0.0122549
     6.53333           0   0.0870278   0.0391669
         6.8           0   0.0520833   0.0270959
     7.06667           0  0.00347222   0.0023926
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.323    0.194162   0.0437239
         0.4       1.716     1.22789     0.11844
    0.666667       3.299     3.55316    0.268156
    0.933333       4.867     4.88765    0.275724
         1.2       4.474      7.0563    0.375651
     1.46667       6.557     9.12332    0.295001
     1.73333      12.841      10.799    0.309281
           2       9.056     12.0811    0.392178
     2.26667      10.816      10.331    0.295397
     2.53333      13.236     10.5513    0.367192
         2.8      11.792     9.11076    0.294603
     3.06667       9.146     8.41768    0.253686
     3.33333       7.606     6.25476    0.202937
         3.6        4.26     4.43743    0.195184
     3.86667       2.321     2.99503    0.213283
     4.13333        1.57       2.424    0.168996
         4.4       1.374     1.72246    0.134938
     4.66667       0.737     1.17216     0.12951
     4.93333        1.85    0.554973   0.0854528
         5.2       0.154    0.366189   0.0593142
     5.46667       0.005    0.234189   0.0427376
     5.73333           0    0.253243   0.0548356
           6           0   0.0960541   0.0380012
     6.26667           0   0.0174595   0.0119333
     6.53333           0   0.0846757   0.0381789
         6.8           0   0.0506757   0.0264001
     7.06667           0  0.00337838  0.00232977
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.008    0.189263   0.0428468
         0.4       0.629     1.21213    0.116367
    0.666667       1.069     3.48779     0.26895
    0.933333       5.837     4.91263    0.269598
         1.2        6.02     7.02903    0.366754
     1.46667       6.733     9.06042    0.293867
     1.73333      11.387     10.8145    0.301529
           2       8.389     11.9839     0.39371
     2.26667      13.958     10.4264    0.302651
     2.53333      14.476     10.6546    0.371771
         2.8       9.341     9.11682    0.286912
     3.06667       9.497     8.44608    0.248595
     3.33333       6.736     6.26742    0.197991
         3.6       6.245       4.485    0.195758
     3.86667       3.613     3.01129    0.208289
     4.13333       2.475     2.42534    0.164554
         4.4       0.971     1.70268    0.132828
     4.66667       0.274     1.14853    0.128241
     4.93333       0.171    0.544868   0.0837993
         5.2       0.164    0.360868   0.0579915
     5.46667       0.007    0.228211   0.0420291
     5.73333           0    0.246579    0.053796
           6           0   0.0935263   0.0370851
     6.26667           0       0.017   0.0116281
     6.53333           0   0.0824474   0.0372391
         6.8           0   0.0493421    0.025739
     7.06667           0  0.00328947  0.00227016
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0     0.18441   0.0420221
         0.4       0.052     1.18238    0.117124
    0.666667       2.275     3.45669    0.263846
    0.933333       4.159     4.89331    0.263377
         1.2       6.278     7.00977    0.357855
     1.46667       6.925     9.00567    0.291389
     1.73333       9.592     10.7832    0.295423
           2      12.748     12.0035    0.384102
     2.26667      12.833     10.4881    0.301116
     2.53333      14.026      10.741    0.372153
         2.8      12.076     9.19269    0.289415
     3.06667       6.724     8.40192    0.246111
     3.33333       6.469     6.27259    0.192982
         3.6       7.187     4.55428    0.202628
     3.86667       2.886     3.00808    0.202973
     4.13333        1.81     2.40956    0.161089
         4.4       1.396     1.69482    0.129655
     4.66667       0.484     1.13149    0.126079
     4.93333        0.08    0.532949    0.082494
         5.2           0    0.351615    0.057238
     5.46667           0    0.222359   0.0413567
     5.73333           0    0.240256   0.0527869
           6           0   0.0911282   0.0362117
     6.26667           0   0.0165641   0.0113381
     6.53333           0   0.0803333   0.0363442
         6.8           0   0.0480769   0.0251101
     7.06667           0  0.00320513  0.00221351
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0      0.1798   0.0412237
         0.4       0.112     1.15563    0.117213
    0.666667       2.956     3.44418    0.257546
    0.933333       3.696     4.86337    0.258488
         1.2       3.795      6.9294     0.35782
     1.46667       7.177     8.95995    0.287668
     1.73333       9.901     10.7611    0.288859
           2      11.988     12.0032    0.374499
     2.26667      14.947     10.5996    0.313543
     2.53333      13.562     10.8116    0.369471
         2.8      13.168     9.29207    0.298756
     3.06667       6.161      8.3459    0.246252
     3.33333       6.637      6.2817    0.188372
         3.6       7.454     4.62678    0.210131
     3.86667        3.63     3.02362    0.198494
     4.13333        0.63     2.36508     0.16309
         4.4       0.686      1.6696    0.128843
     4.66667        1.15     1.13195    0.122928
     4.93333        0.35    0.528375   0.0805583
         5.2           0    0.342825    0.056478
     5.46667           0      0.2168   0.0406947
     5.73333           0     0.23425   0.0518078
           6           0     0.08885    0.035378
     6.26667           0     0.01615   0.0110622
     6.53333           0    0.078325   0.0354911
         6.8           0    0.046875   0.0245111
     7.06667           0    0.003125  0.00215963
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.005    0.175537   0.0404381
         0.4       0.294     1.13461    0.116223
    0.666667       1.589     3.39893    0.255209
    0.933333       2.715     4.81098    0.257439
         1.2       3.612     6.84849    0.358124
     1.46667       6.461       8.899    0.287036
     1.73333      10.255     10.7488    0.282077
           2      14.047      12.053    0.368668
     2.26667      15.295     10.7141    0.326141
     2.53333      18.033     10.9877    0.400246
         2.8      10.363      9.3182    0.292609
     3.06667       6.241     8.29456    0.245539
     3.33333       5.724      6.2681    0.184268
         3.6       5.945     4.65893    0.207451
     3.86667       4.413     3.05751    0.196524
     4.13333       1.009       2.332    0.162431
         4.4        1.66     1.66937    0.125701
     4.66667       0.339     1.11261    0.121442
     4.93333           0    0.515488   0.0796176
         5.2           0    0.334463    0.055716
     5.46667           0    0.211512   0.0400442
     5.73333           0    0.228537   0.0508583
           6           0   0.0866829   0.0345814
     6.26667           0   0.0157561   0.0107994
     6.53333           0   0.0764146   0.0346768
         6.8           0   0.0457317   0.0239399
     7.06667           0  0.00304878   0.0021083
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0    0.171357   0.0396907
         0.4       0.312     1.11502    0.115094
    0.666667       2.786     3.38433    0.249549
    0.933333       2.596     4.75824    0.256655
         1.2       3.027      6.7575    0.360971
     1.46667        7.33     8.86164    0.282622
     1.73333       9.635     10.7222    0.276605
           2      15.067     12.1248    0.366808
     2.26667      12.364     10.7534    0.320732
     2.53333      14.465     11.0705    0.399188
         2.8      14.105     9.43217    0.307037
     3.06667       6.882     8.26093    0.241986
     3.33333       6.292     6.26867    0.179882
         3.6       4.043     4.64426    0.203029
     3.86667       4.737      3.0975     0.19587
     4.13333       2.105      2.3266    0.158654
         4.4        1.36       1.662    0.122924
     4.66667        0.14     1.08945    0.120738
     4.93333       0.687    0.519571   0.0778266
         5.2       0.067    0.328095   0.0547522
     5.46667           0    0.206476   0.0394062
     5.73333           0    0.223095   0.0499376
           6           0    0.084619   0.0338195
     6.26667           0    0.015381   0.0105488
     6.53333           0   0.0745952   0.0338989
         6.8           0   0.0446429   0.0233947
     7.06667           0  0.00297619  0.00205935
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333        0.17    0.171326   0.0387677
         0.4       0.618     1.10347    0.112996
    0.666667       2.461     3.36286    0.244668
    0.933333       4.109     4.74314     0.25113
         1.2       4.385     6.70233    0.356768
     1.46667       5.364      8.7803    0.287517
     1.73333      10.338     10.7133    0.270316
           2        11.4     12.1079    0.358665
     2.26667      13.459     10.8163    0.319386
     2.53333      13.852     11.1352    0.395111
         2.8      11.002     9.46867    0.302059
     3.06667      10.526      8.3136    0.242023
     3.33333       8.875     6.32928     0.18563
         3.6       5.681     4.66837    0.199734
     3.86667       2.925     3.09349    0.191356
     4.13333         1.1     2.29807    0.157508
         4.4       0.578     1.63679    0.122623
     4.66667       0.118     1.06686    0.120025
     4.93333       1.039    0.531651   0.0769485
         5.2           0    0.320465   0.0540079
     5.46667           0    0.201674   0.0387812
     5.73333           0    0.217907    0.049045
           6           0   0.0826512   0.0330903
     6.26667           0   0.0150233   0.0103096
     6.53333           0   0.0728605   0.0331549
         6.8           0   0.0436047   0.0228737
     7.06667           0  0.00290698  0.00201262
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.018    0.167841   0.0380429
         0.4       0.061     1.07977    0.112885
    0.666667       1.954     3.33084    0.241193
    0.933333       6.263     4.77768    0.247786
         1.2       7.059     6.71043    0.348751
     1.46667       7.082      8.7417    0.283561
     1.73333       8.719      10.668    0.267946
           2      10.559     12.0727    0.352237
     2.26667      11.212     10.8253    0.312253
     2.53333      10.415     11.1188     0.38647
         2.8      11.534     9.51561    0.298819
     3.06667      11.374     8.38316    0.246315
     3.33333       8.861     6.38682     0.19012
         3.6        6.85     4.71795    0.201255
     3.86667       2.773      3.0862    0.187146
     4.13333       1.444     2.27866    0.155119
         4.4       0.729     1.61616    0.121559
     4.66667       0.093     1.04473    0.119321
     4.93333           1    0.542295   0.0759323
         5.2           0    0.313182   0.0532693
     5.46667           0    0.197091   0.0381697
     5.73333           0    0.212955   0.0481798
           6           0   0.0807727   0.0323915
     6.26667           0   0.0146818   0.0100809
     6.53333           0   0.0712045   0.0324427
         6.8           0   0.0426136   0.0223753
     7.06667           0  0.00284091  0.00196796
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.012    0.164378   0.0373548
         0.4       0.037      1.0566    0.112729
    0.666667       2.751     3.31796    0.236177
    0.933333       5.918     4.80302    0.243572
         1.2        6.83     6.71309    0.341012
     1.46667        7.24     8.70833    0.279216
     1.73333       7.954     10.6077    0.268693
           2      10.927     12.0472    0.345328
     2.26667       9.748     10.8014    0.306231
     2.53333      11.972     11.1378    0.378347
         2.8      10.247     9.53187     0.29262
     3.06667      14.826     8.52633     0.27937
     3.33333       7.776     6.41769    0.188384
         3.6       5.119     4.72687     0.19698
     3.86667       2.292     3.06856    0.183817
     4.13333       2.784     2.28989    0.152078
         4.4       0.567     1.59284    0.121073
     4.66667       0.641     1.03576    0.117006
     4.93333       0.359    0.538222   0.0743541
         5.2           0    0.306222   0.0525382
     5.46667           0    0.192711    0.037572
     5.73333           0    0.208222   0.0473409
           6           0   0.0789778   0.0317214
     6.26667           0   0.0143556  0.00986217
     6.53333           0   0.0696222   0.0317603
         6.8           0   0.0416667   0.0218981
     7.06667           0  0.00277778  0.00192524
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.537    0.172478   0.0374107
         0.4       1.717     1.07096    0.111189
    0.666667       3.538     3.32274    0.231091
    0.933333       7.372     4.85887    0.244596
         1.2       4.309     6.66083    0.337579
     1.46667       6.024     8.64998    0.279178
     1.73333       7.413     10.5382    0.271679
           2       7.512     11.9487    0.351613
     2.26667      12.951     10.8481    0.303118
     2.53333      12.343      11.164    0.371028
         2.8       9.724     9.53604    0.286289
     3.06667         9.1      8.5388    0.273575
     3.33333      13.109     6.56315    0.233799
         3.6        5.21     4.73737    0.192977
     3.86667       3.685     3.08196    0.180309
     4.13333       2.581     2.29622    0.148904
         4.4       0.565      1.5705    0.120485
     4.66667       0.263     1.01896    0.115662
     4.93333       0.047    0.527543   0.0735005
         5.2           0    0.299565   0.0518161
     5.46667           0    0.188522    0.036988
     5.73333           0    0.203696   0.0465277
           6           0   0.0772609   0.0310782
     6.26667           0   0.0140435  0.00965271
     6.53333           0   0.0681087   0.0311059
         6.8           0   0.0407609   0.0214407
     7.06667           0  0.00271739  0.00188434
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       1.192     0.19417   0.0424402
         0.4       0.828     1.06579    0.108944
    0.666667       4.431     3.34632    0.227374
    0.933333       6.974     4.90387    0.243497
         1.2       6.118     6.64928    0.330594
     1.46667       5.578     8.58462    0.280785
     1.73333       8.919     10.5038    0.268074
           2      10.157     11.9105    0.346193
     2.26667       9.774     10.8253    0.297529
     2.53333       11.22     11.1651    0.363135
         2.8       8.051     9.50445    0.281936
     3.06667       9.749     8.56455    0.268964
     3.33333      10.041     6.63715    0.240249
         3.6       5.756     4.75904    0.190084
     3.86667       3.597     3.09291    0.176806
     4.13333       3.325     2.31811    0.147336
         4.4       0.381     1.54519     0.12055
     4.66667       1.272     1.02434    0.113326
     4.93333       0.637    0.529872   0.0719736
         5.2           0    0.293191   0.0511041
     5.46667           0    0.184511   0.0364179
     5.73333           0    0.199362   0.0457391
           6           0    0.075617   0.0304604
     6.26667           0   0.0137447  0.00945196
     6.53333           0   0.0666596   0.0304778
         6.8           0   0.0398936   0.0210021
     7.06667           0  0.00265957  0.00184513
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0    0.190125   0.0417483
         0.4       0.161     1.04694    0.108292
    0.666667       3.455     3.34858    0.222649
    0.933333       6.179     4.93044    0.239869
         1.2       6.413     6.64435    0.323744
     1.46667      11.226     8.63965    0.280276
     1.73333       9.615     10.4852    0.263128
           2      10.735      11.886    0.339845
     2.26667      11.301     10.8352    0.291496
     2.53333       7.818     11.0954    0.362204
         2.8       8.638      9.4864    0.276639
     3.06667       7.758     8.54775    0.263884
     3.33333       8.877     6.68381    0.239733
         3.6       5.643     4.77746    0.187014
     3.86667       4.923     3.13104    0.177185
     4.13333       2.095     2.31346    0.144339
         4.4       0.542     1.52429    0.119837
     4.66667       1.553     1.03535    0.111499
     4.93333       0.891    0.537396   0.0708662
         5.2       0.177    0.290771   0.0500967
     5.46667           0    0.180667   0.0358615
     5.73333           0    0.195208   0.0449744
           6           0   0.0740417   0.0298665
     6.26667           0   0.0134583  0.00925938
     6.53333           0   0.0652708   0.0298745
         6.8           0   0.0390625    0.020581
     7.06667           0  0.00260417  0.00180752
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.058    0.187429   0.0409833
         0.4       0.756       1.041    0.106245
    0.666667       3.852     3.35886    0.218342
    0.933333        2.51     4.88104    0.240006
         1.2       7.366     6.65908    0.317471
     1.46667      11.046     8.68876    0.278825
     1.73333      10.767      10.491    0.257821
           2       9.166     11.8305    0.337413
     2.26667       8.437     10.7862    0.289626
     2.53333      11.552     11.1047    0.354931
         2.8      12.926     9.55659    0.279758
     3.06667        7.48     8.52596    0.259397
     3.33333       8.622     6.72337    0.238081
         3.6       4.762     4.77714    0.183198
     3.86667       2.522     3.11861    0.174005
     4.13333       2.681     2.32096    0.141589
         4.4       0.838     1.51029    0.118207
     4.66667       1.248     1.03969    0.109308
     4.93333       0.152    0.529531   0.0698551
         5.2       1.191    0.309143   0.0523348
     5.46667       0.068    0.178367   0.0352032
     5.73333           0    0.191224   0.0442327
           6           0   0.0725306   0.0292952
     6.26667           0   0.0131837  0.00907448
     6.53333           0   0.0639388   0.0292945
         6.8           0   0.0382653   0.0201764
     7.06667           0  0.00255102  0.00177141
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.466       0.193   0.0405406
         0.4       1.183     1.04384    0.104158
    0.666667       2.721      3.3461    0.214347
    0.933333       3.819      4.8598    0.236144
         1.2       4.854     6.62298    0.313168
     1.46667      10.764     8.73026     0.27632
     1.73333       8.708     10.4553    0.255119
           2       8.948     11.7729    0.335554
     2.26667      10.892     10.7883    0.283842
     2.53333       16.72      11.217    0.365168
         2.8      11.703     9.59952    0.277437
     3.06667       7.751     8.51046    0.254672
     3.33333        5.35      6.6959    0.234899
         3.6       4.524     4.77208    0.179604
     3.86667       3.262     3.12148    0.170548
     4.13333       2.523       2.325    0.138814
         4.4       1.524     1.51056    0.115843
     4.66667       0.474     1.02838    0.107706
     4.93333       0.352     0.52598   0.0685482
         5.2       1.213     0.32722   0.0543205
     5.46667       0.249     0.17978   0.0345275
     5.73333           0      0.1874    0.043513
           6           0     0.07108   0.0287452
     6.26667           0     0.01292  0.00889682
     6.53333           0     0.06266   0.0287365
         6.8           0      0.0375   0.0197874
     7.06667           0      0.0025  0.00173672
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.037    0.189941   0.0398609
