VELOCITY:     AVE_POFV:        ERROR:
    0.666667       2.448     1.87786    0.322717
    0.933333       3.572       3.459    0.354307
         1.2      11.294     7.94814    0.972845
     1.46667      10.415       8.931    0.730732
     1.73333      10.622     11.3804    0.630504
           2       8.258     14.2196      1.1196
     2.26667       9.402     10.2831    0.600198
     2.53333      10.024     12.7286    0.905012
         2.8       9.443     9.60371    0.537082
     3.06667       8.243     8.90686    0.546706
     3.33333       5.423     5.70814    0.386626
         3.6       5.045       3.997    0.320019
     3.86667       6.016     3.29557    0.707844
     4.13333       3.251     2.45871    0.383329
         4.4        1.66     1.15929    0.268646
     4.66667        1.26    0.290857    0.156428
     4.93333       0.638    0.233286    0.112806
         5.2       0.039    0.163286   0.0852159
     5.46667           0    0.267429   0.0885755
     5.73333           0    0.143429   0.0936683
           6           0    0.133286    0.105512
     6.26667           0  0.00128571  0.00119034
     6.53333           0    0.197143    0.132696
         6.8           0    0.195571    0.117338
     7.06667           0  0.00828571  0.00767108
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0       0.001 0.000637377
         0.4       0.814     0.45875    0.127127
    0.666667       3.286     2.05388    0.326874
    0.933333       2.448     3.33262    0.331792
         1.2      11.018     8.33188    0.923825
     1.46667        10.9     9.17713    0.679578
     1.73333       11.18     11.3554    0.552188
           2       7.657     13.3993      1.2444
     2.26667       9.217     10.1499    0.539766
     2.53333      12.943     12.7554    0.792282
         2.8      11.813     9.87988    0.536266
     3.06667       5.427     8.47188    0.628008
     3.33333        5.23     5.64837    0.342886
         3.6       4.175     4.01925    0.280789
     3.86667       5.105     3.52175    0.654502
     4.13333       0.821       2.254    0.386227
         4.4       3.172     1.41088    0.332627
     4.66667       2.054     0.51125    0.247459
     4.93333        0.74    0.296625    0.115122
         5.2           0    0.142875   0.0769694
     5.46667           0       0.234   0.0835739
     5.73333           0      0.1255    0.083658
           6           0    0.116625   0.0936287
     6.26667           0    0.001125  0.00105234
     6.53333           0      0.1725    0.118375
         6.8           0    0.171125    0.105187
     7.06667           0     0.00725  0.00678175
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0 0.000888889 0.000576161
         0.4       1.105    0.530556    0.131729
    0.666667       4.034     2.27389    0.357001
    0.933333       3.826     3.38744    0.299421
         1.2      10.305     8.55111    0.846792
     1.46667       8.191     9.06756    0.612839
     1.73333      10.163     11.2229    0.506478
           2      11.408      13.178     1.12563
     2.26667      10.003     10.1336    0.480038
     2.53333      11.305     12.5942    0.720454
         2.8       8.586     9.73611    0.495577
     3.06667       5.725     8.16667     0.62803
     3.33333       6.741     5.76978    0.325571
         3.6       4.598     4.08356    0.256848
     3.86667       3.518     3.52133     0.58178
     4.13333       3.857     2.43211    0.382181
         4.4       2.813     1.56667    0.330142
     4.66667       1.227    0.590778    0.232392
     4.93333       0.414    0.309667    0.103067
         5.2       0.181    0.147111   0.0685338
     5.46667           0       0.208   0.0782277
     5.73333           0    0.111556   0.0755159
           6           0    0.103667   0.0841175
     6.26667           0       0.001 0.000942809
     6.53333           0    0.153333    0.106763
         6.8           0    0.152111   0.0952025
     7.06667           0  0.00644444  0.00607588
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333        0.09      0.0098  0.00846971
         0.4       1.395       0.617    0.144156
    0.666667       2.667      2.3132    0.323458
    0.933333       4.597      3.5084    0.292893
         1.2      10.424      8.7384    0.782551
     1.46667      12.251      9.3859    0.628825
     1.73333       8.374      10.938    0.529931
