BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         135     2.00235     2.00076  6.0017e-05
         136     2.00238     2.00077 6.07525e-05
         137     2.00242     2.00078 6.14923e-05
         138     2.00246      2.0008 6.22366e-05
         139      2.0025     2.00081 6.29852e-05
         140     2.00254     2.00082 6.37382e-05
         141     2.00258     2.00083 6.44956e-05
         142     2.00262     2.00085 6.52574e-05
         143     2.00266     2.00086 6.60236e-05
         144      2.0027     2.00087 6.67943e-05
         145     2.00274     2.00088 6.75695e-05
         146     2.00278      2.0009 6.83492e-05
         147     2.00283     2.00091 6.91333e-05
         148     2.00287     2.00092  6.9922e-05
         149     2.00291     2.00094 7.07152e-05
         150     2.00296     2.00095  7.1513e-05
         151       2.003     2.00096 7.23155e-05
         152     2.00304     2.00098 7.31225e-05
         153     2.00309     2.00099 7.39342e-05
         154     2.00313     2.00101 7.47506e-05
         155     2.00318     2.00102 7.55716e-05
         156     2.00322     2.00103 7.63974e-05
         157     2.00327     2.00105 7.72279e-05
         158     2.00332     2.00106 7.80632e-05
         159     2.00336     2.00108 7.89033e-05
         160     2.00341     2.00109 7.97482e-05
         161     2.00346     2.00111 8.05979e-05
         162     2.00351     2.00112 8.14525e-05
         163     2.00356     2.00114 8.23119e-05
         164     2.00361     2.00115 8.31763e-05
         165     2.00366     2.00117 8.40455e-05
         166     2.00371     2.00118 8.49198e-05
         167     2.00376      2.0012 8.57991e-05
         168     2.00381     2.00121 8.66833e-05
         169     2.00386     2.00123 8.75727e-05
         170     2.00391     2.00124 8.84672e-05
         171     2.00396     2.00126 8.93668e-05
         172     2.00401     2.00128 9.02715e-05
         173     2.00407     2.00129 9.11814e-05
         174     2.00412     2.00131 9.20966e-05
         175     2.00418     2.00132 9.30169e-05
         176     2.00423     2.00134 9.39425e-05
         177     2.00429     2.00136 9.48733e-05
         178     2.00434     2.00137 9.58095e-05
         179      2.0044     2.00139  9.6751e-05
         180     2.00445     2.00141 9.76979e-05
         181     2.00451     2.00143 9.86502e-05
         182     2.00457     2.00144 9.96079e-05
         183     2.00463     2.00146 0.000100571
         184     2.00468     2.00148  0.00010154
         185     2.00474      2.0015 0.000102514
         186      2.0048     2.00151 0.000103494
         187     2.00486     2.00153 0.000104479
         188     2.00492     2.00155  0.00010547
         189     2.00498     2.00157 0.000106467
         190     2.00505     2.00159 0.000107469
         191     2.00511      2.0016 0.000108477
         192     2.00517     2.00162 0.000109491
         193     2.00523     2.00164  0.00011051
         194      2.0053     2.00166 0.000111535
         195     2.00536     2.00168 0.000112567
         196     2.00543      2.0017 0.000113604
         197     2.00549     2.00172 0.000114647
         198     2.00556     2.00174 0.000115696
         199     2.00562     2.00176  0.00011675
         200     2.00569     2.00178 0.000117811
         201     2.00576      2.0018 0.000118878
         202     2.00582     2.00182 0.000119952
         203     2.00589     2.00184 0.000121031
         204     2.00596     2.00186 0.000122116
         205     2.00603     2.00188 0.000123208
         206      2.0061      2.0019 0.000124306
         207     2.00617     2.00192 0.000125411
         208     2.00624     2.00194 0.000126521
         209     2.00632     2.00196 0.000127639
         210     2.00639     2.00198 0.000128762
         211     2.00646       2.002 0.000129892
         212     2.00654     2.00202 0.000131029
         213     2.00661     2.00204 0.000132172
         214     2.00669     2.00207 0.000133322
         215     2.00676     2.00209 0.000134478
         216     2.00684     2.00211 0.000135641
         217     2.00691     2.00213 0.000136811
         218     2.00699     2.00215 0.000137987
         219     2.00707     2.00218 0.000139171
         220     2.00715      2.0022 0.000140361
         221     2.00723     2.00222 0.000141558
         222     2.00731     2.00225 0.000142762
         223     2.00739     2.00227 0.000143974
         224     2.00747     2.00229 0.000145192
         225     2.00755     2.00231 0.000146417
         226     2.00764     2.00234  0.00014765
         227     2.00772     2.00236 0.000148889
         228      2.0078     2.00239 0.000150136
         229     2.00789     2.00241  0.00015139
         230     2.00797     2.00243 0.000152652
         231     2.00806     2.00246 0.000153921
         232     2.00815     2.00248 0.000155197
         233     2.00823     2.00251 0.000156481
         234     2.00832     2.00253 0.000157772
         235     2.00841     2.00256 0.000159071
         236      2.0085     2.00258 0.000160378
         237     2.00859     2.00261 0.000161692
         238     2.00868     2.00263 0.000163014
         239     2.00877     2.00266 0.000164344
         240     2.00887     2.00269 0.000165681
         241     2.00896     2.00271 0.000167027
         242     2.00905     2.00274  0.00016838
         243     2.00915     2.00276 0.000169741
         244     2.00924     2.00279  0.00017111
         245     2.00934     2.00282 0.000172488
