n_block      H_average        errore
229 -0.443922 0.0044357
230 -0.443743 0.00442
231 -0.443551 0.00440502
232 -0.444049 0.00441416
233 -0.443896 0.00439781
234 -0.444186 0.00438854
235 -0.444704 0.00440039
236 -0.444425 0.00439056
237 -0.444671 0.00437891
238 -0.444747 0.00436114
239 -0.444676 0.00434344
240 -0.445123 0.00434832
241 -0.444815 0.00434118
242 -0.445307 0.00435114
243 -0.444726 0.004372
244 -0.44497 0.00436093
245 -0.444761 0.00434816
246 -0.444383 0.0043469
247 -0.444408 0.00432934
248 -0.444381 0.00431193
249 -0.444069 0.00430591
250 -0.444054 0.00428867
251 -0.444221 0.00427481
252 -0.444334 0.00425932
253 -0.444212 0.00424421
254 -0.444298 0.00422835
255 -0.44398 0.00422377
256 -0.443408 0.00424586
257 -0.443307 0.00423051
258 -0.443424 0.00421569
259 -0.443715 0.00420946
260 -0.443249 0.00421907
261 -0.44305 0.00420757
262 -0.442927 0.00419329
263 -0.442867 0.00417775
264 -0.442441 0.00418355
265 -0.442365 0.00416843
266 -0.442479 0.00415428
267 -0.44227 0.00414393
268 -0.442403 0.00413058
269 -0.442506 0.00411648
270 -0.442433 0.00410186
271 -0.442421 0.00408671
272 -0.442462 0.00407187
273 -0.44287 0.0040773
274 -0.442617 0.00407023
275 -0.442497 0.00405717
276 -0.442308 0.00404685
277 -0.442573 0.00404089
278 -0.442675 0.00402762
279 -0.442618 0.00401356
280 -0.442466 0.0040021
281 -0.442332 0.00399009
282 -0.442652 0.00398882
283 -0.442582 0.00397532
284 -0.441824 0.00403318
285 -0.441912 0.00401996
286 -0.441692 0.00401188
287 -0.441669 0.00399795
288 -0.441329 0.0039985
289 -0.440799 0.00401971
290 -0.440906 0.00400724
291 -0.440932 0.00399353
292 -0.440949 0.00397987
293 -0.440785 0.00396963
294 -0.440788 0.00395611
295 -0.440509 0.00395257
296 -0.440629 0.00394104
297 -0.4406 0.00392786
298 -0.440674 0.00391537
299 -0.441149 0.00393096
300 -0.441321 0.00392162
301 -0.441237 0.00390948
302 -0.440981 0.00390493
303 -0.440622 0.00390852
304 -0.440765 0.00389828
305 -0.440767 0.00388548
306 -0.440654 0.00387442
307 -0.440619 0.00386194
308 -0.440325 0.00386063
309 -0.440651 0.00386189
310 -0.44106 0.00387105
311 -0.441231 0.00386239
312 -0.441424 0.00385484
313 -0.441095 0.0038566
314 -0.441174 0.00384511
315 -0.441412 0.00384032
316 -0.441476 0.00382868
317 -0.441282 0.00382154
318 -0.441313 0.00380963
319 -0.441039 0.0038075
320 -0.44128 0.0038032
321 -0.441503 0.00379789
322 -0.441278 0.00379275
323 -0.441557 0.00379126
324 -0.440887 0.0038385
325 -0.440447 0.00385192
326 -0.440451 0.00384008
327 -0.440522 0.00382899
328 -0.44063 0.00381882
329 -0.44055 0.00380803
330 -0.440663 0.00379815
331 -0.440991 0.00380085
332 -0.441124 0.00379171
333 -0.441109 0.00378034
334 -0.441278 0.00377283
335 -0.44152 0.00376932
336 -0.441548 0.00375819
337 -0.441314 0.0037543
338 -0.441338 0.00374325
339 -0.441425 0.0037332
340 -0.44143 0.00372221
341 -0.44146 0.0037114
342 -0.441288 0.00370452
343 -0.441177 0.00369535
344 -0.441251 0.00368532
345 -0.441638 0.00369497
346 -0.440554 0.00384026
