n_block              T     sigma             mu            <H>         H_err
109 0.0166806 0.806047 0.803803 -0.274891 0.00386549
110 0.01638 0.806047 0.803803 -0.274891 0.0137089
111 0.0160875 0.806047 0.803803 -0.274891 0.0123811
112 0.0158028 0.806047 0.803803 -0.274891 0.00589239
113 0.0155255 0.647576 0.748847 -0.431436 0.00136696
114 0.0152555 0.647576 0.748847 -0.431436 0.00170815
115 0.0149925 0.647576 0.748847 -0.431436 0.00177711
116 0.0147362 0.647576 0.748847 -0.431436 0.00848635
117 0.0144865 0.647576 0.748847 -0.431436 0.00302709
118 0.014243 0.647576 0.748847 -0.431436 0.00182713
119 0.0140056 0.647576 0.748847 -0.431436 0.00163163
120 0.0137741 0.647576 0.748847 -0.431436 0.00265511
121 0.0135483 0.647576 0.748847 -0.431436 0.0032164
122 0.013328 0.647576 0.748847 -0.431436 0.00260456
123 0.013113 0.625371 0.736236 -0.430437 0.00101578
124 0.0129032 0.625371 0.736236 -0.430437 0.00418186
125 0.0126984 0.625371 0.736236 -0.430437 0.00137892
126 0.0124984 0.598886 0.771123 -0.438383 0.00108025
127 0.0123031 0.598886 0.771123 -0.438383 0.00594896
128 0.0121124 0.598886 0.771123 -0.438383 0.0124606
129 0.0119261 0.598886 0.771123 -0.438383 0.00209726
130 0.011744 0.598886 0.771123 -0.438383 0.00803902
131 0.011566 0.598886 0.771123 -0.438383 0.00230811
132 0.0113921 0.598886 0.771123 -0.438383 0.00893635
133 0.0112221 0.598886 0.771123 -0.438383 0.00221425
134 0.0110558 0.598886 0.771123 -0.438383 0.00734297
135 0.0108932 0.598886 0.771123 -0.438383 0.00241553
136 0.0107342 0.589528 0.819008 -0.437913 0.00126334
137 0.0105787 0.589528 0.819008 -0.437913 0.00204211
138 0.0104264 0.589528 0.819008 -0.437913 0.00761167
139 0.0102775 0.589528 0.819008 -0.437913 0.00175668
140 0.0101317 0.589528 0.819008 -0.437913 0.0125751
141 0.00998901 0.589528 0.819008 -0.437913 0.00852445
142 0.00984931 0.589528 0.819008 -0.437913 0.00617378
143 0.00971251 0.589528 0.819008 -0.437913 0.00380435
144 0.00957854 0.598556 0.850277 -0.432581 0.00127452
145 0.00944733 0.598556 0.850277 -0.432581 0.00323927
146 0.0093188 0.598556 0.850277 -0.432581 0.00243562
147 0.00919287 0.598556 0.850277 -0.432581 0.00836692
148 0.00906947 0.598556 0.850277 -0.432581 0.0452142
149 0.00894855 0.598556 0.850277 -0.432581 0.00407381
150 0.00883002 0.598556 0.850277 -0.432581 0.00454357
151 0.00871384 0.598556 0.850277 -0.432581 0.00580477
152 0.00859993 0.582615 0.834069 -0.431927 0.00148284
153 0.00848824 0.582615 0.834069 -0.431927 0.00463089
154 0.00837872 0.582615 0.834069 -0.431927 0.0014606
155 0.0082713 0.582615 0.834069 -0.431927 0.00267398
156 0.00816593 0.582615 0.834069 -0.431927 0.0077874
157 0.00806257 0.582615 0.834069 -0.431927 0.00235465
158 0.00796115 0.619289 0.728846 -0.426803 0.00107934
159 0.00786164 0.619289 0.728846 -0.426803 0.00300487
160 0.00776398 0.619289 0.728846 -0.426803 0.00398425
161 0.00766812 0.619289 0.728846 -0.426803 0.0145653
162 0.00757404 0.619289 0.728846 -0.426803 0.0134674
163 0.00748167 0.619289 0.728846 -0.426803 0.00330758
164 0.00739098 0.619289 0.728846 -0.426803 0.00248117
165 0.00730194 0.619289 0.728846 -0.426803 0.00619158
166 0.00721449 0.619289 0.728846 -0.426803 0.00282695
167 0.0071286 0.619289 0.728846 -0.426803 0.00268529
168 0.00704424 0.619289 0.728846 -0.426803 0.00620973
169 0.00696136 0.619289 0.728846 -0.426803 0.00541166
170 0.00687994 0.619289 0.728846 -0.426803 0.0101791
171 0.00679995 0.619289 0.728846 -0.426803 0.0046845
172 0.00672133 0.619289 0.728846 -0.426803 0.00593492
173 0.00664408 0.619289 0.728846 -0.426803 0.00733942
174 0.00656814 0.619289 0.728846 -0.426803 0.00472666
175 0.00649351 0.619289 0.728846 -0.426803 0.00317045
176 0.00642013 0.619289 0.728846 -0.426803 0.00230117
177 0.006348 0.619289 0.728846 -0.426803 0.0218614
178 0.00627707 0.619289 0.728846 -0.426803 0.00464236
179 0.00620732 0.619289 0.728846 -0.426803 0.00297494
180 0.00613874 0.619289 0.728846 -0.426803 0.00288598
181 0.00607128 0.619289 0.728846 -0.426803 0.00416299
182 0.00600492 0.619289 0.728846 -0.426803 0.00292464
183 0.00593965 0.619289 0.728846 -0.426803 0.00240226
184 0.00587544 0.619289 0.728846 -0.426803 0.00746627
185 0.00581226 0.619289 0.728846 -0.426803 0.00540638
186 0.0057501 0.619289 0.728846 -0.426803 0.0114468
187 0.00568893 0.619289 0.728846 -0.426803 0.00185576
188 0.00562873 0.619289 0.728846 -0.426803 0.023015
189 0.00556948 0.619289 0.728846 -0.426803 0.00889964
190 0.00551116 0.619289 0.728846 -0.426803 0.00263775
191 0.00545375 0.619289 0.728846 -0.426803 0.00155792
192 0.00539724 0.619289 0.728846 -0.426803 0.00287238
193 0.0053416 0.619289 0.728846 -0.426803 0.0117827
194 0.00528681 0.619289 0.728846 -0.426803 0.0053784
195 0.00523286 0.619289 0.728846 -0.426803 0.00180094
196 0.00517974 0.619289 0.728846 -0.426803 0.00603061
197 0.00512742 0.619289 0.728846 -0.426803 0.00133593
